source_class,arm,target_separation_sigma,realized_separation_sigma,relative_error
L224,UNRESOLVED_IMAGE,4.0,3.999999999999999,2.220446049250313e-16
L224,TOTAL_FLUX,0.25,0.24999999999999986,5.551115123125783e-16
L224,TOTAL_FLUX,0.25,0.24999999999999986,5.551115123125783e-16
L224,TOTAL_FLUX,0.25,0.24999999999999986,5.551115123125783e-16
L224,TOTAL_FLUX,0.25,0.24999999999999986,5.551115123125783e-16
L224,TOTAL_FLUX,0.25,0.24999999999999986,5.551115123125783e-16
L224,TOTAL_FLUX,0.25,0.24999999999999986,5.551115123125783e-16
L224,TOTAL_FLUX,0.25,0.24999999999999986,5.551115123125783e-16
L224,TOTAL_FLUX,0.25,0.24999999999999986,5.551115123125783e-16
L224,TOTAL_FLUX,1.0,0.9999999999999994,5.551115123125783e-16
L224,TOTAL_FLUX,1.0,0.9999999999999994,5.551115123125783e-16
L224,TOTAL_FLUX,1.0,0.9999999999999994,5.551115123125783e-16
L224,TOTAL_FLUX,1.0,0.9999999999999994,5.551115123125783e-16
L224,TOTAL_FLUX,1.0,0.9999999999999994,5.551115123125783e-16
L224,TOTAL_FLUX,1.0,0.9999999999999994,5.551115123125783e-16
L224,TOTAL_FLUX,1.0,0.9999999999999994,5.551115123125783e-16
L224,TOTAL_FLUX,1.0,0.9999999999999994,5.551115123125783e-16
L224,TOTAL_FLUX,4.0,3.999999999999998,5.551115123125783e-16
L224,TOTAL_FLUX,4.0,3.999999999999998,5.551115123125783e-16
L224,TOTAL_FLUX,4.0,3.999999999999998,5.551115123125783e-16
L224,TOTAL_FLUX,4.0,3.999999999999998,5.551115123125783e-16
L224,TOTAL_FLUX,4.0,3.999999999999998,5.551115123125783e-16
L224,TOTAL_FLUX,4.0,3.999999999999998,5.551115123125783e-16
L224,TOTAL_FLUX,4.0,3.999999999999998,5.551115123125783e-16
L224,TOTAL_FLUX,4.0,3.999999999999998,5.551115123125783e-16
