class,arm,estimator,snr0,family,index,hyperparameter,PHYSICAL_END_TO_END_all_state_error,CLASS_CONDITIONAL_all_state_error,CC_PROJLAB_all_state_error,PHYSICAL_END_TO_END_non_dead_error,PHYSICAL_END_TO_END_saturation_fraction,CLASS_CONDITIONAL_non_dead_error,CLASS_CONDITIONAL_saturation_fraction,stable_multi_cost_normalized,n_stable_multi_states
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,two_hotspot_trajectories,5,0.1,0.7145711057950426,0.7149448441168357,0.3399147741313927,0.7145711057950426,0.6557377049180327,0.7149448441168357,0.6557377049180327,0.7656201252728605,244
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m1_rotating_crescent,0,0.1,0.7578234626798368,0.7578234626798368,0.7578234626798368,0.7578234626798368,0.5573770491803278,0.7578234626798368,0.5573770491803278,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m1_rotating_crescent,1,0.1,0.6657313530485466,0.6592462910672588,0.6592462910672588,0.6657313530485466,0.5737704918032787,0.6592462910672588,0.5737704918032787,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m1_rotating_crescent,2,0.1,0.6882965515016761,0.6882965515016761,0.6882965515016761,0.6882965515016761,0.6065573770491803,0.6882965515016761,0.6065573770491803,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m1_rotating_crescent,3,0.1,0.5708741650448323,0.5708741650448323,0.5708741650448323,0.5708741650448323,0.5081967213114754,0.5708741650448323,0.5081967213114754,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m1_rotating_crescent,4,0.1,0.5523309439590576,0.5523309439590576,0.5523309439590576,0.5523309439590576,0.5081967213114754,0.5523309439590576,0.5081967213114754,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m1_rotating_crescent,5,0.1,0.8766641958217215,0.8766641958217215,0.8766641958217215,0.8766641958217215,0.5901639344262295,0.8766641958217215,0.5901639344262295,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m2_structural_mode,0,0.1,0.643501965453027,0.643501965453027,0.643501965453027,0.643501965453027,0.5573770491803278,0.643501965453027,0.5573770491803278,1.287003930906054,244
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m2_structural_mode,1,0.1,0.7574444284507675,0.7574444284507675,0.7574444284507675,0.7574444284507675,0.5737704918032787,0.7574444284507675,0.5737704918032787,1.7167121326579142,244
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m2_structural_mode,2,0.1,0.8266607669403148,0.8238519140183858,0.8238519140183858,0.8266607669403148,0.639344262295082,0.8238519140183858,0.639344262295082,1.7265541079679811,244
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m2_structural_mode,3,0.1,0.6807621783204266,0.6807621783204266,0.6807621783204266,0.6807621783204266,0.6065573770491803,0.6807621783204266,0.6065573770491803,1.387044643788945,244
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m2_structural_mode,4,0.1,0.6271737469702612,0.6271737469702612,0.6271737469702612,0.6271737469702612,0.5573770491803278,0.6271737469702612,0.5573770491803278,1.2543474939405224,244
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m2_structural_mode,5,0.1,0.7863156101318478,0.7863156101318478,0.7863156101318478,0.7863156101318478,0.5901639344262295,0.7863156101318478,0.5901639344262295,1.604531447077044,244
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,flare_birth_motion_decay,0,0.1,0.7708800402792113,0.7600005885857419,0.7678191558882359,0.5714212665527153,0.11475409836065574,0.5714212665527153,0.08196721311475409,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,flare_birth_motion_decay,1,0.1,0.8758199326238452,0.8577411945325267,0.8577411945325267,0.8225826177261119,0.4262295081967213,0.8225826177261119,0.39344262295081966,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,flare_birth_motion_decay,2,0.1,0.6448353454884832,0.6362898762266573,0.6362898762266573,0.8405598705919729,0.5901639344262295,0.8359991467953817,0.5901639344262295,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,flare_birth_motion_decay,3,0.1,0.7414794708476912,0.7389217784581068,0.7389217784581068,0.5255991414628527,0.3114754098360656,0.5255991414628527,0.29508196721311475,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,flare_birth_motion_decay,4,0.1,0.7374715803472608,0.7331422975394456,0.7331422975394456,0.606372114606714,0.11475409836065574,0.606372114606714,0.11475409836065574,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,flare_birth_motion_decay,5,0.1,0.6547548732127351,0.5975196699857312,0.5975196699857312,0.5764956019841118,0.4262295081967213,0.5764956019841118,0.4262295081967213,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,plunging_feature,0,0.1,0.897867160016025,0.8971062493496568,0.8971062493496568,0.897867160016025,0.7377049180327869,0.8971062493496568,0.7377049180327869,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,plunging_feature,1,0.1,0.8811600312469159,0.8853056714483268,0.8853056714483268,0.8811600312469159,0.6721311475409836,0.8853056714483268,0.6721311475409836,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,plunging_feature,2,0.1,0.8761728188081634,0.8759678071942268,0.8759678071942268,0.8761728188081634,0.8032786885245902,0.8759678071942268,0.8032786885245902,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,plunging_feature,3,0.1,0.9208438252053565,0.9206625421144342,0.9206625421144342,0.9208438252053565,0.6844262295081968,0.9206625421144342,0.6844262295081968,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,plunging_feature,4,0.1,0.9389594544149553,0.9413626614756376,0.9413626614756376,0.9389594544149553,0.7377049180327869,0.9413626614756376,0.7377049180327869,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,plunging_feature,5,0.1,0.9419317804665345,0.9442416304858183,0.9442416304858183,0.9419317804665345,0.7704918032786885,0.9442416304858183,0.7704918032786885,,0
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,circular_hotspot_trajectory,0,0.03162277660168379,0.6817108113512141,0.6817108113512141,0.6817108113512141,0.6817108113512141,0.5819672131147541,0.6817108113512141,0.5819672131147541,,0
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,circular_hotspot_trajectory,1,0.03162277660168379,0.6697727368244188,0.6691584198446836,0.6691584198446836,0.6697727368244188,0.5409836065573771,0.6691584198446836,0.5409836065573771,,0
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,circular_hotspot_trajectory,2,0.03162277660168379,0.8723719067950235,0.8723719067950235,0.8723719067950235,0.8723719067950235,0.8114754098360657,0.8723719067950235,0.8114754098360657,,0
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,circular_hotspot_trajectory,3,0.03162277660168379,0.929946165083051,0.929946165083051,0.929946165083051,0.929946165083051,0.7336065573770492,0.929946165083051,0.7336065573770492,,0
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,circular_hotspot_trajectory,4,0.03162277660168379,0.713477558770399,0.7068123914244118,0.7068123914244118,0.713477558770399,0.6885245901639344,0.7068123914244118,0.6885245901639344,,0
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,circular_hotspot_trajectory,5,0.03162277660168379,0.7478824704437141,0.7478824704437141,0.7478824704437141,0.7478824704437141,0.7213114754098361,0.7478824704437141,0.7213114754098361,,0
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,two_hotspot_trajectories,0,0.03162277660168379,0.861462347119892,0.8568504416745113,0.8568504416745113,0.861462347119892,0.7049180327868853,0.8568504416745113,0.7049180327868853,1.7229246942397838,244
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,two_hotspot_trajectories,1,0.03162277660168379,0.4754107002091206,0.4680053309985447,0.3721624909940898,0.4754107002091206,0.19672131147540983,0.4680053309985447,0.19672131147540983,0.9036521041703418,132
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,two_hotspot_trajectories,2,0.03162277660168379,0.8127128306926199,0.8047736418117626,0.8047736418117626,0.8127128306926199,0.6065573770491803,0.8047736418117626,0.6065573770491803,1.6254256613852398,244
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,two_hotspot_trajectories,3,0.03162277660168379,0.7621168604959494,0.7617431221741564,0.7617431221741564,0.7621168604959494,0.5983606557377049,0.7617431221741564,0.5983606557377049,1.5242337209918986,244
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,two_hotspot_trajectories,4,0.03162277660168379,0.4133345037240092,0.3603530146435371,0.30534260870109103,0.4133345037240092,0.0,0.3603530146435371,0.0,0.6318119125309972,92
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,two_hotspot_trajectories,5,0.03162277660168379,0.6797927831377418,0.6790453064941555,0.3510004424147146,0.6797927831377418,0.6721311475409836,0.6790453064941555,0.6721311475409836,0.6797927831377417,244
