class,arm,estimator,snr0,family,index,hyperparameter,PHYSICAL_END_TO_END_all_state_error,CLASS_CONDITIONAL_all_state_error,CC_PROJLAB_all_state_error,PHYSICAL_END_TO_END_non_dead_error,PHYSICAL_END_TO_END_saturation_fraction,CLASS_CONDITIONAL_non_dead_error,CLASS_CONDITIONAL_saturation_fraction,stable_multi_cost_normalized
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,circular_hotspot_trajectory,9,0.03162277660168379,0.6782978298505693,0.6782978298505693,0.6782978298505693,0.6782978298505693,0.6721311475409836,0.6782978298505693,0.6721311475409836,
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,flare_birth_motion_decay,0,0.03162277660168379,0.6796671977179691,0.6182040109654217,0.6182040109654217,0.9140911040942596,0.32786885245901637,0.9140911040942596,0.32786885245901637,
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,flare_birth_motion_decay,1,0.03162277660168379,0.6578072966830881,0.6428783414999555,0.6428783414999555,0.4607346054909423,0.16393442622950818,0.4549130520110597,0.16393442622950818,
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,flare_birth_motion_decay,2,0.03162277660168379,0.45308981317274144,0.455956368693217,0.455956368693217,0.532241294010958,0.26229508196721313,0.532241294010958,0.26229508196721313,
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,flare_birth_motion_decay,3,0.03162277660168379,0.8528360513826295,0.7853331038032054,0.7859579570578124,0.8765278528769196,0.3114754098360656,0.8765278528769196,0.3114754098360656,
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,flare_birth_motion_decay,4,0.03162277660168379,0.7011224745354145,0.6767005236971655,0.6767005236971655,0.576423078144228,0.28688524590163933,0.576423078144228,0.28688524590163933,
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,flare_birth_motion_decay,5,0.03162277660168379,0.8254862791639304,0.8231368421777139,0.8231368421777139,0.92147453250606,0.3319672131147541,0.92147453250606,0.3319672131147541,
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,flare_birth_motion_decay,6,0.03162277660168379,0.7494424414667513,0.742830429268553,0.7429644999025273,0.7249004351634717,0.10655737704918034,0.7236788118858473,0.10655737704918034,
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,flare_birth_motion_decay,7,0.03162277660168379,0.6087698702907356,0.5901957944205992,0.5940088285438291,0.7071985055252578,0.18032786885245902,0.7071985055252578,0.18032786885245902,
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,flare_birth_motion_decay,8,0.03162277660168379,0.7028879651148805,0.6928634254159468,0.6928634254159468,0.6156565004390568,0.2827868852459016,0.6156565004390568,0.2827868852459016,
