source_class,arm,estimator,snr0,scope,bank,n_banks_in_scope,mean_direct,mean_arm,median_relative_reduction,median_ci_low,median_ci_high,relative_reduction,ci_low,ci_high,n_families_improved,all_primary_banks_positive,n_truths,n_cells,meets_materiality,improved_circular_single_hotspot,improved_circular_two_hotspots,improved_circular_crescent,improved_plunging_hotspot,positive_constant_flux_structural,positive_structure_balanced_050,positive_structure_balanced_080
L224,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,single_bank,constant_flux_structural,1,16.075645570101827,8.313872473606228,0.5674601688696105,0.470262771764264,0.6247748296046689,0.5349226239878608,0.4793191709423156,0.5857104270727614,4,True,32,4,True,True,True,True,True,True,,
L224,TOTAL_FLUX,RIDGE_IDENTITY,100.0,single_bank,constant_flux_structural,1,16.075645570101827,17.358710253288372,-0.0864406187685795,-0.12964484892332614,-0.04805111363388938,-0.1065142730775091,-0.13827749161260505,-0.07649377772302915,0,False,32,4,False,False,False,False,False,False,,
L224,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,single_bank,constant_flux_structural,1,16.075645570101827,13.459616363435313,0.23026989961133698,0.1603226123902618,0.2855289959453009,0.20571108529329765,0.163054257878778,0.24486452727073227,4,True,32,4,True,True,True,True,True,True,,
L224,RESOLVED_PHYSICAL,TSVD,100.0,single_bank,constant_flux_structural,1,16.3607788588506,9.008863584565624,0.5181039076682001,0.47533005151705293,0.5614748678102174,0.5023992645422026,0.4460321323557798,0.5546285579220894,4,True,32,4,True,True,True,True,True,True,,
L224,TOTAL_FLUX,TSVD,100.0,single_bank,constant_flux_structural,1,16.3607788588506,17.351761242040578,-0.07262362789115055,-0.10636322742722872,-0.04067089269643267,-0.08626933508131969,-0.11510802860030964,-0.0584721477521008,1,False,32,4,False,False,False,False,True,False,,
L224,UNRESOLVED_IMAGE,TSVD,100.0,single_bank,constant_flux_structural,1,16.3607788588506,15.152535558035645,0.10351792192359041,0.057584605906639004,0.16742416012766814,0.10888618308105553,0.07430693513861254,0.1428116520484677,3,True,32,4,True,True,True,True,False,True,,
L448,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,single_bank,constant_flux_structural,1,18.99236911712419,12.301068079599535,0.4462547054839876,0.3650977230224659,0.5264292855399177,0.4210981077729243,0.3659231341989785,0.47127039946632476,4,True,32,4,True,True,True,True,True,True,,
L448,TOTAL_FLUX,RIDGE_IDENTITY,100.0,single_bank,constant_flux_structural,1,18.99236911712419,19.364824881798214,-0.020529598001291872,-0.03436587308785565,-0.006765919361505905,-0.02676145359178614,-0.035853392912614676,-0.018046263292284523,1,False,32,4,False,False,False,False,True,False,,
L448,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,single_bank,constant_flux_structural,1,18.99236911712419,16.550771507760057,0.19484799725232557,0.11913750913906293,0.26217545206697784,0.17718489275626292,0.1372120528719378,0.21543014708388203,4,True,32,4,True,True,True,True,True,True,,
L448,RESOLVED_PHYSICAL,TSVD,100.0,single_bank,constant_flux_structural,1,19.131933533286094,12.665900783928887,0.42660567281097905,0.35713202459476606,0.5081319218629043,0.406445802218395,0.3510800019350453,0.45703434482776434,4,True,32,4,True,True,True,True,True,True,,
L448,TOTAL_FLUX,TSVD,100.0,single_bank,constant_flux_structural,1,19.131933533286094,19.361416645047456,-0.008146661932853762,-0.01993428197023726,-0.0024263101591342085,-0.018018597785381785,-0.026149671429778445,-0.010671204313355068,1,False,32,4,False,False,False,False,True,False,,
L448,UNRESOLVED_IMAGE,TSVD,100.0,single_bank,constant_flux_structural,1,19.131933533286094,16.893088813081114,0.17866024471666114,0.10657670622179415,0.24373725923981907,0.16593865865733132,0.12363662971708844,0.20712737180152474,4,True,32,4,True,True,True,True,True,True,,
L1056,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,single_bank,structure_balanced_050,1,3.0865387399535456,2.5121824004938924,0.1605554167314377,0.08422712118630585,0.2608128071237362,0.06640049309603488,-0.07047409074382854,0.18254738908142168,3,True,32,4,False,True,True,True,False,,True,
L1056,TOTAL_FLUX,RIDGE_IDENTITY,100.0,single_bank,structure_balanced_050,1,3.0865387399535456,3.103998279169764,-0.003549716161996222,-0.0119137741589719,0.0027414618235767152,0.0021260668873581603,-0.0070905326424708,0.013430816585140599,1,False,32,4,False,False,False,False,True,,False,
L1056,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,single_bank,structure_balanced_050,1,3.0865387399535456,2.9643213849241636,0.018103976346057427,-0.08651271804532473,0.11209802807635114,-0.05014656707773332,-0.15211153815135298,0.03906883747922256,3,True,32,4,False,True,True,True,False,,True,
L1056,RESOLVED_PHYSICAL,TSVD,100.0,single_bank,structure_balanced_050,1,3.133063559221971,2.586989492576658,0.14754236395245857,0.0659081451270094,0.24188690577422267,0.09151877171365232,-0.002027392212699244,0.17848080148870396,3,True,32,4,False,True,True,True,False,,True,
L1056,TOTAL_FLUX,TSVD,100.0,single_bank,structure_balanced_050,1,3.133063559221971,3.1039839545773438,0.005635526126281111,-0.000489856034563283,0.019493222584443096,0.03120646037433115,0.009634499825398797,0.0607258393413748,3,True,32,4,False,True,True,False,True,,True,
L1056,UNRESOLVED_IMAGE,TSVD,100.0,single_bank,structure_balanced_050,1,3.133063559221971,3.064813047343753,0.00900708806835648,-0.11525480052360183,0.09582936276552013,-0.04428146852840347,-0.11681772374738798,0.02454662223808651,3,True,32,4,False,True,True,True,False,,True,
