family,split,regime,generative_radial_cells,generative_azimuthal_cells,generative_ages_scored,index,truth_seed,contrast_fraction,peak_fraction_of_background,min_total,min_background,zero_mean_max_abs,azimuthal_mean_max_abs,positivity_scale
flare_birth_motion_decay,pilot,estimated_from_data,0.3196740604921466,0.029944807914995895,26,1,9184396338861111144,0.0133330043049923,0.6705991709052235,0.26252368703513623,0.337102863530144,1.6805133673525234e-18,2.1250362580715887e-17,1.0
flare_birth_motion_decay,pilot,estimated_from_data,0.26671670824713933,0.018263602369854953,34,2,2470756796689058317,0.017165643282757728,0.747349372165687,0.3121719430266529,0.3251593392511337,2.7105054310118127e-18,3.642919299551295e-17,1.0
flare_birth_motion_decay,pilot,estimated_from_data,0.2839686271542671,0.05559590031961861,20,3,4271633513288572202,0.012086027283543254,0.45523762611061186,0.26622527695688997,0.26622527695688997,7.369186641112413e-19,1.3877787807814457e-17,1.0
flare_birth_motion_decay,pilot,estimated_from_data,0.09115755556686463,0.4539056432899219,27,4,1796870410933027947,0.08260597902047176,0.719142399931557,0.23047328696686747,0.23047328696686747,6.7762635780186255e-18,7.979727989493313e-17,1.0
flare_birth_motion_decay,pilot,estimated_from_data,0.3532079325504035,0.024642798466895967,25,5,7118105608055469400,0.009877420746588083,0.6694541165680878,0.2841140110746335,0.2891858791741988,2.1684043449711013e-19,9.540979117872439e-18,1.0
flare_birth_motion_decay,pilot,estimated_from_data,0.13982593213402336,0.03616589403921796,19,6,2592561897312249403,0.009825127092142005,0.6274366056698443,0.21505064923816958,0.22582912074218553,1.422941318722401e-18,1.1926223897340549e-17,1.0
flare_birth_motion_decay,pilot,estimated_from_data,0.038746168519334,0.10062950919962495,19,7,8528904067773716567,0.011512795299550281,0.34925248446125373,0.24550779733437167,0.24550779733437167,2.3276120559630315e-18,3.382710778154774e-17,1.0
plunging_feature,selection,estimated_from_data,0.02674834346365938,0.0060530725877774895,61,0,4350019292203301838,0.12966601986223755,0.7693151218066514,0.20847334531071998,0.20847334531071998,8.133210359535792e-18,1.5439038936193583e-16,1.0
plunging_feature,selection,estimated_from_data,0.10401939053364807,0.08785068608442856,61,1,3152257452391810416,0.12456526031351003,0.588077277298028,0.2832766701771413,0.2832766701771413,9.056476272042967e-18,1.196959198423997e-16,1.0
plunging_feature,selection,estimated_from_data,0.11520874414970099,0.00728308081089227,61,2,2593457021969655279,0.1436171785652991,0.602336426399424,0.2517152561226983,0.2517152561226983,1.3020590465193105e-17,2.1163626406917047e-16,1.0
plunging_feature,selection,estimated_from_data,0.10477004404893675,0.003945838555207182,61,3,7008988900614864013,0.174435079825525,0.6911920479530205,0.18336835026406112,0.18336835026406112,9.398677582738678e-18,1.205632815803881e-16,1.0
plunging_feature,selection,estimated_from_data,0.5232791139633607,0.30016919506347844,61,4,8339125390245541045,0.14047671590426755,0.7168033519853061,0.19090378569314964,0.19090378569314964,6.071108649445198e-18,9.194034422677078e-17,1.0
plunging_feature,selection,estimated_from_data,0.16869759564241535,0.05918925216707993,61,5,3144540369798771161,0.050963575998321665,0.437274397548984,0.18635826977452624,0.18635826977452624,2.791820594150174e-18,5.616167253474913e-17,1.0
plunging_feature,selection,estimated_from_data,0.03194878791314207,0.014145972887440733,61,6,4319992714366960618,0.10011060656807874,0.4444407246612583,0.26766039813884807,0.26766039813884807,9.222475316809821e-18,9.71445146547012e-17,1.0
plunging_feature,selection,estimated_from_data,0.0135563205223285,0.012080257650668854,61,7,2705875867331768032,0.14183155383397256,0.7349191880250782,0.2345321308500137,0.2345321308500137,1.2465366985712811e-17,1.491862189340054e-16,1.0
plunging_feature,pilot,estimated_from_data,0.06863134316715591,0.03790533328571256,61,0,8460799678542298666,0.06136260279647714,0.355856405528878,0.2916761633491119,0.2916761633491119,2.3022355506371883e-18,4.423544863740858e-17,1.0
