geometry,source_class,kind,arm,retarded_age,lambda_max_per_snr2,lambda_min_per_snr2,detectable_at_reference_snr,log_information_volume_at_reference_snr
a050_i050,L224,localized,UNRESOLVED_IMAGE,32.0,0.5990379984272556,1.136900576375326e-07,True,95.26157313023579
a050_i050,L224,localized,UNRESOLVED_IMAGE,34.0,0.5554175846845202,4.459918267165539e-08,True,90.29460327708352
a050_i050,L224,localized,UNRESOLVED_IMAGE,36.0,0.4929004792623968,1.6839717177805913e-08,True,84.20520382899898
a050_i050,L224,localized,UNRESOLVED_IMAGE,38.0,0.41584368877099986,8.42569054109297e-09,True,76.93773112765572
a050_i050,L224,localized,UNRESOLVED_IMAGE,40.0,0.3392173900461264,5.2460894610772535e-09,True,68.5326401082523
a050_i050,L224,localized,UNRESOLVED_IMAGE,42.0,0.2731535582464488,2.7372199555914127e-09,True,59.52286050389856
a050_i050,L224,localized,UNRESOLVED_IMAGE,44.0,0.2200998813144046,1.8858882132195727e-09,True,51.01251165430519
a050_i050,L224,localized,UNRESOLVED_IMAGE,46.0,0.1780104094628604,2.3173675619724594e-09,True,44.33307057054611
a050_i050,L224,localized,UNRESOLVED_IMAGE,48.0,0.14215198286728992,3.389043901565941e-09,True,39.241812159128585
a050_i050,L224,localized,UNRESOLVED_IMAGE,50.0,0.11077633058261199,4.690712929726601e-09,True,34.427808728929485
a050_i050,L224,localized,UNRESOLVED_IMAGE,52.0,0.08207960566981284,5.9930793301618985e-09,True,29.507683514651475
a050_i050,L224,localized,UNRESOLVED_IMAGE,54.0,0.05507769905155592,7.1560053354412835e-09,True,24.586080031266846
a050_i050,L224,localized,UNRESOLVED_IMAGE,56.0,0.031538948065634426,7.76524024507161e-09,True,19.690273293425097
a050_i050,L224,localized,UNRESOLVED_IMAGE,58.0,0.013706979051549915,7.212245891491001e-09,True,14.662994354439567
a050_i050,L224,localized,UNRESOLVED_IMAGE,60.0,0.0037947325335671795,6.471372645464692e-09,True,9.429697092445599
a050_i050,L224,localized,UNRESOLVED_IMAGE,62.0,0.0005957807988950792,2.7653577431073932e-09,True,4.497697536968171
a050_i050,L224,localized,UNRESOLVED_IMAGE,64.0,8.30146717811757e-05,1.553159422548894e-09,False,1.726922869942038
a050_i050,L224,localized,UNRESOLVED_IMAGE,66.0,4.862970257990961e-05,1.327301812184636e-09,False,1.1231826347270686
a050_i050,L224,localized,UNRESOLVED_IMAGE,68.0,4.108117963423908e-05,1.096312202484406e-09,False,0.9346003760903463
a050_i050,L224,localized,UNRESOLVED_IMAGE,70.0,3.650230371026803e-05,8.646654339308672e-10,False,0.8161021620384233
a050_i050,L224,localized,UNRESOLVED_IMAGE,72.0,3.323144224465441e-05,5.46679584402348e-10,False,0.7296062091262657
a050_i050,L224,localized,UNRESOLVED_IMAGE,74.0,2.996756690551013e-05,2.6287532536963815e-10,False,0.6509296999419074
a050_i050,L224,localized,UNRESOLVED_IMAGE,76.0,2.6281948718218685e-05,1.159847822097845e-10,False,0.5743558872713459
a050_i050,L224,localized,UNRESOLVED_IMAGE,78.0,2.2820257941620843e-05,5.3351932830350756e-11,False,0.5032050089828946
a050_i050,L224,localized,UNRESOLVED_IMAGE,80.0,1.991751343425413e-05,2.653264185345936e-11,False,0.4391384979820542
a050_i050,L224,localized,UNRESOLVED_IMAGE,82.0,1.7569311679607315e-05,1.334700714239929e-11,False,0.38358522391342176
a050_i050,L224,localized,UNRESOLVED_IMAGE,84.0,1.5417448584315633e-05,5.115830785326054e-12,False,0.3349178330955206
a050_i050,L224,localized,UNRESOLVED_IMAGE,86.0,1.3036219145594089e-05,1.7027539925864102e-12,False,0.2870478763676417
a050_i050,L224,localized,UNRESOLVED_IMAGE,88.0,1.0672230370988838e-05,6.173181775953915e-13,False,0.24200288311721346
a050_i050,L224,localized,UNRESOLVED_IMAGE,90.0,8.707755017823513e-06,2.184505050242475e-13,False,0.20289273362046722
a050_i050,L224,localized,UNRESOLVED_IMAGE,92.0,6.612752163912606e-06,7.060708588558439e-14,False,0.1607615187652779
a050_i050,L224,localized,UNRESOLVED_IMAGE,94.0,4.222693171985519e-06,2.6346254577222028e-14,False,0.11165127735291563
a050_i050,L224,localized,UNRESOLVED_IMAGE,96.0,3.0443538707698197e-06,1.0231835393171704e-14,False,0.06446878292251632
a050_i050,L224,localized,UNRESOLVED_IMAGE,98.0,1.7900750880092584e-06,3.201491191920433e-15,False,0.031080162933284337
a050_i050,L224,localized,UNRESOLVED_IMAGE,100.0,5.957551591276135e-07,8.885360737640356e-16,False,0.012313962040095053
a050_i050,L224,localized,UNRESOLVED_IMAGE,102.0,1.779503113816395e-07,1.6568367041071599e-16,False,0.003972283340971177
a050_i050,L224,localized,UNRESOLVED_IMAGE,104.0,5.6656957395317204e-08,3.360742558571925e-17,False,0.0009581421984076315
a050_i050,L224,localized,UNRESOLVED_IMAGE,106.0,9.019928655146002e-09,4.3072654618738425e-18,False,0.00017655626417987917
a050_i050,L224,localized,UNRESOLVED_IMAGE,108.0,1.6506858704431509e-09,7.095414703234903e-19,False,6.241022293309255e-05
a050_i050,L224,localized,UNRESOLVED_IMAGE,110.0,1.1575077373047e-09,3.07345612522499e-20,False,4.0792010778196374e-05
a050_i050,L224,localized,UNRESOLVED_IMAGE,112.0,8.290280269964137e-10,8.240764220373653e-22,False,2.549517233530039e-05
a050_i050,L224,localized,UNRESOLVED_IMAGE,114.0,4.785115020281964e-10,8.339336517593728e-24,False,1.3387037642344383e-05
a050_i050,L224,localized,UNRESOLVED_IMAGE,116.0,3.057423273125805e-10,5.537224166560696e-26,False,5.97047384856339e-06
