source_class,bank,family,index,retarded_age,oracle_floor_absolute,oracle_floor_normalized,truth_structure_norm,reachable_at_epsilon,in_old_band
L224,constant_flux_structural,circular_single_hotspot,1,82.0,3.8274537721809994,0.29058238617089577,13.17166474753228,False,True
L224,constant_flux_structural,circular_single_hotspot,1,84.0,3.8758938265258203,0.29188987755523194,13.278616781743027,False,True
L224,constant_flux_structural,circular_single_hotspot,1,86.0,3.85460922013116,0.29246988249699324,13.179508218836132,False,True
L224,constant_flux_structural,circular_single_hotspot,1,88.0,3.8859986905677975,0.29252448472560244,13.284353595949385,False,True
L224,constant_flux_structural,circular_single_hotspot,1,90.0,3.848074486064817,0.29171497237894756,13.191213514629062,False,True
L224,constant_flux_structural,circular_single_hotspot,1,92.0,3.8606586508907115,0.29041775687051175,13.29346625527467,False,True
L224,constant_flux_structural,circular_single_hotspot,1,94.0,3.819760685960833,0.28922945185885307,13.206679545985224,False,True
L224,constant_flux_structural,circular_single_hotspot,1,96.0,3.8341747192436757,0.2881828057861325,13.304661632342876,False,True
L224,constant_flux_structural,circular_single_hotspot,1,98.0,3.807395737852709,0.28801188389109067,13.219578603542777,False,True
L224,constant_flux_structural,circular_single_hotspot,1,100.0,3.837619461793064,0.28842414528583543,13.305472251603236,False,True
L224,constant_flux_structural,circular_single_hotspot,1,102.0,3.824796979845785,0.28935291627976284,13.218449736126917,False,True
L224,constant_flux_structural,circular_single_hotspot,1,104.0,3.8621331276912456,0.29059942079951095,13.29022995663777,False,True
L224,constant_flux_structural,circular_single_hotspot,1,106.0,3.8489246408651505,0.2914184367532571,13.207553659770745,False,True
L224,constant_flux_structural,circular_single_hotspot,1,108.0,3.8750225876523254,0.2919213889889739,13.27419892414491,False,True
L224,constant_flux_structural,circular_single_hotspot,1,110.0,3.849735294612687,0.29164852433871136,13.199913503219808,False,True
L224,constant_flux_structural,circular_single_hotspot,1,112.0,3.8566227215180517,0.29081117549894003,13.261604251973145,False,True
L224,constant_flux_structural,circular_single_hotspot,1,114.0,3.8246827296460495,0.2898353606862613,13.196052823196275,False,True
L224,constant_flux_structural,circular_single_hotspot,1,116.0,3.8264356400121655,0.28873382236507567,13.25246764881605,False,True
L224,constant_flux_structural,circular_single_hotspot,1,118.0,3.8033147666214147,0.28821860719515596,13.195937637871342,False,True
L224,constant_flux_structural,circular_single_hotspot,1,120.0,3.8167719496585013,0.28812806477569036,13.246789939153912,False,True
L224,constant_flux_structural,circular_single_hotspot,2,0.0,11.622999033766721,0.3767713151632861,30.848948861007415,False,False
