geometry,spin,inclination_deg,arm,snr0,a0_999_lower_limit_M,J_old,J_old_best_mode,J_old_log_volume,deltaG_rank,deltaG_trace,deltaG_stable_rank,deltaG_min_positive_eigenvalue,deltaG_max_eigenvalue,deltaG_min_eigenvalue,deltaG_numerical_tolerance
a000_i020,0.0,20,SPATIAL_ONLY,100.0,18.47709816245863,15.057963925495711,30.79757432132372,162.84851955354432,,,,,,,
a000_i020,0.0,20,SPATIAL_ONLY,300.0,18.47709816245863,28.30361296021329,48.18563336190365,334.7013954697563,,,,,,,
a000_i020,0.0,20,SPATIAL_ONLY,1000.0,18.47709816245863,46.088696636036204,72.49708451851829,638.8602043932514,,,,,,,
a000_i020,0.0,20,SPATIAL_ONLY,3000.0,18.47709816245863,64.48650810868779,100.55727630625702,1028.4341487371403,,,,,,,
a000_i020,0.0,20,SPATIAL_ONLY,10000.0,18.47709816245863,89.66495191095208,136.39427453026434,1561.4131041736157,,,,,,,
a000_i020,0.0,20,SPATIAL_ONLY,30000.0,18.47709816245863,117.06765458407935,171.1413669567276,2125.927267158336,,,,,,,
a000_i020,0.0,20,SPATIAL_ONLY,100000.0,18.47709816245863,152.16621957931898,213.0322255056249,2818.0204192504666,,,,,,,
a000_i020,0.0,20,SPATIAL_ONLY,1000000.0,18.47709816245863,227.1635624259405,301.8213047144391,4349.521291400344,,,,,,,
a000_i020,0.0,20,SPATIAL_ONLY,100.0,18.47709816245863,15.057963925495711,30.79757432132372,162.84851955354432,,,,,,,
a000_i020,0.0,20,EQUALIZED_ORDER_SENSITIVITY,1.0,18.47709816245863,2.8725605078413063,24.42178162609879,151.17078786418406,,,,,,,
a000_i020,0.0,20,EQUALIZED_ORDER_SENSITIVITY,3.0,18.47709816245863,21.77217062548444,93.52449252541973,711.2672990590906,,,,,,,
a000_i020,0.0,20,EQUALIZED_ORDER_SENSITIVITY,10.0,18.47709816245863,109.03263300610425,228.88332024401592,2249.2339077741008,,,,,,,
a000_i020,0.0,20,EQUALIZED_ORDER_SENSITIVITY,30.0,18.47709816245863,252.89895954017524,390.56820394174906,4644.353458272133,,,,,,,
a000_i020,0.0,20,EQUALIZED_ORDER_SENSITIVITY,100.0,18.47709816245863,439.7660286433471,585.0836580907951,8178.3877203891825,,,,,,,
