reading,arm,readout,snr,source_seed,rule,hyperparameter,nrmse,visible_component_error,null_component_error,data_residual
B_cells6_screen2,resolved_diverse,resolved,-1.0,300001,oracle,1e-10,1.4386896455688906e-08,1.4386896450225366e-08,4.971851851796287e-16,1.3710416948727365e-09
B_cells6_screen2,resolved_diverse,resolved,-1.0,300001,gcv,1e-10,1.4386896455688906e-08,1.4386896450225366e-08,4.971851851796287e-16,1.3710416948727365e-09
B_cells6_screen2,resolved_diverse,resolved,-1.0,300002,oracle,1e-10,5.6603015922619546e-09,5.660301647471054e-09,3.5809331620365754e-16,6.739071822416748e-10
B_cells6_screen2,resolved_diverse,resolved,-1.0,300002,gcv,1e-10,5.6603015922619546e-09,5.660301647471054e-09,3.5809331620365754e-16,6.739071822416748e-10
B_cells6_screen2,resolved_diverse,resolved,-1.0,300003,oracle,1e-10,4.547880371563973e-08,4.547880361611603e-08,4.771214933605184e-16,2.7342621761306652e-09
B_cells6_screen2,resolved_diverse,resolved,-1.0,300003,gcv,1e-10,4.547880371563973e-08,4.547880361611603e-08,4.771214933605184e-16,2.7342621761306652e-09
B_cells6_screen2,resolved_diverse,resolved,-1.0,300004,oracle,1e-10,9.25062395480244e-09,9.250623884339091e-09,3.147316217316019e-16,8.512449018587375e-10
B_cells6_screen2,resolved_diverse,resolved,-1.0,300004,gcv,1e-10,9.25062395480244e-09,9.250623884339091e-09,3.147316217316019e-16,8.512449018587375e-10
B_cells6_screen2,resolved_diverse,resolved,-1.0,300005,oracle,1e-10,3.134403720508517e-08,3.134403725869013e-08,4.2845739812580586e-16,1.7250687012747802e-09
B_cells6_screen2,resolved_diverse,resolved,-1.0,300005,gcv,1e-10,3.134403720508517e-08,3.134403725869013e-08,4.2845739812580586e-16,1.7250687012747802e-09
B_cells6_screen2,resolved_diverse,resolved,-1.0,300006,oracle,1e-10,6.2391504480042726e-09,6.23915046750888e-09,3.623205760570257e-16,5.427110576622198e-10
B_cells6_screen2,resolved_diverse,resolved,-1.0,300006,gcv,1e-10,6.2391504480042726e-09,6.23915046750888e-09,3.623205760570257e-16,5.427110576622198e-10
B_cells6_screen2,resolved_diverse,resolved,-1.0,300007,oracle,1e-10,7.585511993313385e-09,7.585512049423495e-09,3.989260567036801e-16,1.0424553374411268e-09
B_cells6_screen2,resolved_diverse,resolved,-1.0,300007,gcv,1e-10,7.585511993313385e-09,7.585512049423495e-09,3.989260567036801e-16,1.0424553374411268e-09
B_cells6_screen2,resolved_diverse,resolved,100.0,300000,oracle,39.19406774847229,0.07803266623142024,0.07803266623142015,3.7333474975514796e-16,16.59501024183522
B_cells6_screen2,resolved_diverse,resolved,100.0,300000,gcv,9.617248711152984,0.1072674254109579,0.10726742541095781,3.840427137701379e-16,16.515572081859226
B_cells6_screen2,resolved_diverse,resolved,100.0,300000,discrepancy,100.0,0.12274893150702293,0.12274893150702275,3.8647754783925606e-16,16.829512755037698
B_cells6_screen2,resolved_diverse,resolved,100.0,300001,oracle,39.19406774847229,0.04509676792558098,0.0450967679255809,4.732714238271012e-16,15.366221394002814
B_cells6_screen2,resolved_diverse,resolved,100.0,300001,gcv,3.7693909753883634,0.11349064439281617,0.11349064439281614,4.3691297473157094e-16,15.13584509682931
B_cells6_screen2,resolved_diverse,resolved,100.0,300001,discrepancy,62.60516572014828,0.0724613914004019,0.07246139140040184,3.4159107031525234e-16,15.586220060193407
B_cells6_screen2,resolved_diverse,resolved,100.0,300002,oracle,24.537511066398267,0.07372043868867022,0.07372043868867006,4.553442605056512e-16,16.48591802508199
B_cells6_screen2,resolved_diverse,resolved,100.0,300002,gcv,24.537511066398267,0.07372043868867022,0.07372043868867006,4.553442605056512e-16,16.48591802508199
B_cells6_screen2,resolved_diverse,resolved,100.0,300002,discrepancy,100.0,0.09301763983591924,0.09301763983591918,4.2157706612253544e-16,16.72521400978343
B_cells6_screen2,resolved_diverse,resolved,100.0,300003,oracle,2.3598334667821987,0.08008645150194789,0.08008645150194785,3.351430085944972e-16,16.224994059088086
B_cells6_screen2,resolved_diverse,resolved,100.0,300003,gcv,2.3598334667821987,0.08008645150194789,0.08008645150194785,3.351430085944972e-16,16.224994059088086
B_cells6_screen2,resolved_diverse,resolved,100.0,300003,discrepancy,62.60516572014828,0.29033400671858395,0.2903340067185837,5.103861891161692e-16,16.76323267984587
B_cells6_screen2,resolved_diverse,resolved,100.0,300004,oracle,6.02089449333615,0.11402457986975924,0.11402457986975917,4.52629878708565e-16,16.184896217007072
B_cells6_screen2,resolved_diverse,resolved,100.0,300004,gcv,15.361749466718296,0.11602980739284008,0.11602980739284002,3.71834244184471e-16,16.19498549760934
B_cells6_screen2,resolved_diverse,resolved,100.0,300004,discrepancy,100.0,0.1768129316925713,0.17681293169257126,3.910640135906078e-16,16.456928556642364
B_cells6_screen2,resolved_diverse,resolved,100.0,300005,oracle,6.02089449333615,0.05741352307587777,0.05741352307587778,5.342823339686356e-16,16.256362447572513
B_cells6_screen2,resolved_diverse,resolved,100.0,300005,gcv,3.7693909753883634,0.06336931417764834,0.06336931417764828,4.141761285323018e-16,16.250856170703116
B_cells6_screen2,resolved_diverse,resolved,100.0,300005,discrepancy,100.0,0.21911274320697754,0.2191127432069777,5.988454449086548e-16,16.687531308966673
B_cells6_screen2,resolved_diverse,resolved,100.0,300006,oracle,1e-10,0.05820014668304159,0.05820014668304165,5.39284209545046e-16,15.093720952922554
B_cells6_screen2,resolved_diverse,resolved,100.0,300006,gcv,39.19406774847229,0.06572778869629119,0.06572778869629133,4.434658988004889e-16,15.124012347583786
B_cells6_screen2,resolved_diverse,resolved,100.0,300006,discrepancy,100.0,0.08462830760886976,0.08462830760886994,4.101034523862893e-16,15.252684839552686
B_cells6_screen2,resolved_diverse,resolved,100.0,300007,oracle,9.617248711152984,0.11949317729646561,0.11949317729646565,2.892153953322128e-16,16.216005656109918
B_cells6_screen2,resolved_diverse,resolved,100.0,300007,gcv,9.617248711152984,0.11949317729646561,0.11949317729646565,2.892153953322128e-16,16.216005656109918
B_cells6_screen2,resolved_diverse,resolved,100.0,300007,discrepancy,100.0,0.1850575272055827,0.18505752720558258,2.980899072581393e-16,16.70737639750893
B_cells6_screen2,resolved_diverse,resolved,10.0,300000,oracle,6.02089449333615,0.4182012916382621,0.4182012916382621,4.974591792020691e-16,16.605918195515926
B_cells6_screen2,resolved_diverse,resolved,10.0,300000,gcv,15.361749466718296,0.43457103007888453,0.4345710300788845,6.02629958694323e-16,16.709833906518693
B_cells6_screen2,resolved_diverse,resolved,10.0,300000,discrepancy,24.537511066398267,0.4550734456179025,0.4550734456179025,7.0968120976732775e-16,16.82121969247001
B_cells6_screen2,resolved_diverse,resolved,10.0,300001,oracle,3.7693909753883634,0.29031131148976125,0.29031131148976114,7.266961934974163e-16,15.328247163843148
B_cells6_screen2,resolved_diverse,resolved,10.0,300001,gcv,1.4773776525985156,0.3800179126942751,0.380017912694275,8.745416400502178e-16,15.231459208881583
B_cells6_screen2,resolved_diverse,resolved,10.0,300001,discrepancy,15.361749466718296,0.37088791215566036,0.3708879121556603,6.493011183558211e-16,15.648184572287876
B_cells6_screen2,resolved_diverse,resolved,10.0,300002,oracle,6.02089449333615,0.400026107841388,0.4000261078413879,7.453499376270522e-16,16.54706987237367
B_cells6_screen2,resolved_diverse,resolved,10.0,300002,gcv,9.617248711152984,0.41080883251535116,0.4108088325153512,9.575896418385087e-16,16.59571750840515
B_cells6_screen2,resolved_diverse,resolved,10.0,300002,discrepancy,39.19406774847229,0.5116943724269957,0.511694372426996,1.252774249793911e-15,16.98182667164974
B_cells6_screen2,resolved_diverse,resolved,10.0,300003,oracle,3.7693909753883634,0.6480953747018612,0.6480953747018618,1.0979227140273943e-15,16.304320969531034
B_cells6_screen2,resolved_diverse,resolved,10.0,300003,gcv,24.537511066398267,0.6894404806308437,0.6894404806308442,1.3354847292507512e-15,16.5161184516147
B_cells6_screen2,resolved_diverse,resolved,10.0,300003,discrepancy,62.60516572014828,0.7145019195271257,0.7145019195271259,1.294666329493633e-15,16.876073032770233
B_cells6_screen2,resolved_diverse,resolved,10.0,300004,oracle,24.537511066398267,0.5689102273627791,0.568910227362779,9.066830587173652e-16,16.49553610937377
B_cells6_screen2,resolved_diverse,resolved,10.0,300004,gcv,15.361749466718296,0.582406735800759,0.5824067358007589,8.818420337909133e-16,16.38624226392085
B_cells6_screen2,resolved_diverse,resolved,10.0,300004,discrepancy,62.60516572014828,0.5850269325020241,0.585026932502024,9.020512034840333e-16,16.974701237983368
B_cells6_screen2,resolved_diverse,resolved,10.0,300005,oracle,3.7693909753883634,0.4349969529443423,0.4349969529443424,8.0685075672783775e-16,16.31449386066196
B_cells6_screen2,resolved_diverse,resolved,10.0,300005,gcv,15.361749466718296,0.4628573585554551,0.4628573585554552,8.6089585028016425e-16,16.444681631115905
B_cells6_screen2,resolved_diverse,resolved,10.0,300005,discrepancy,39.19406774847229,0.4932416320477349,0.4932416320477352,9.538874547904163e-16,16.73797707131812
B_cells6_screen2,resolved_diverse,resolved,10.0,300006,oracle,6.02089449333615,0.35998718961773135,0.3599871896177319,6.32563056201319e-16,15.14198958209073
B_cells6_screen2,resolved_diverse,resolved,10.0,300006,gcv,15.361749466718296,0.37048879900059184,0.37048879900059234,6.805247455105624e-16,15.218583120781856
B_cells6_screen2,resolved_diverse,resolved,10.0,300006,discrepancy,39.19406774847229,0.4017654458370409,0.4017654458370412,7.52046143726312e-16,15.454766540699758
B_cells6_screen2,resolved_diverse,resolved,10.0,300007,oracle,15.361749466718296,0.6244381721025276,0.6244381721025274,8.374385440880465e-16,16.49190525395773
B_cells6_screen2,resolved_diverse,resolved,10.0,300007,gcv,9.617248711152984,0.6372137892754186,0.6372137892754185,8.350491066336779e-16,16.405136813216547
B_cells6_screen2,resolved_diverse,resolved,10.0,300007,discrepancy,62.60516572014828,0.6552750021150353,0.6552750021150353,9.59980987791096e-16,17.03871807098082
B_cells6_screen2,unresolved_diverse,unresolved,-1.0,300000,oracle,1e-10,0.2586385609634821,0.25433308979639985,0.07475320403686289,2.154544433796517e-06
B_cells6_screen2,unresolved_diverse,unresolved,-1.0,300000,gcv,1e-10,0.2586385609634821,0.25433308979639985,0.07475320403686289,2.154544433796517e-06
B_cells6_screen2,unresolved_diverse,unresolved,-1.0,300001,oracle,1e-10,0.252701132655773,0.07949327703806161,0.4992563101548595,1.1460903109971798e-06
B_cells6_screen2,unresolved_diverse,unresolved,-1.0,300001,gcv,1e-10,0.252701132655773,0.07949327703806161,0.4992563101548595,1.1460903109971798e-06
B_cells6_screen2,unresolved_diverse,unresolved,-1.0,300002,oracle,1e-10,0.45888434020704383,0.14139543437728505,0.6908872151284325,1.7982197015548585e-06
B_cells6_screen2,unresolved_diverse,unresolved,-1.0,300002,gcv,1e-10,0.45888434020704383,0.14139543437728505,0.6908872151284325,1.7982197015548585e-06
B_cells6_screen2,unresolved_diverse,unresolved,-1.0,300003,oracle,1e-10,0.1261450510126772,0.11447939685148427,0.09722464880671002,3.2150571138465833e-06
B_cells6_screen2,unresolved_diverse,unresolved,-1.0,300003,gcv,1e-10,0.1261450510126772,0.11447939685148427,0.09722464880671002,3.2150571138465833e-06
B_cells6_screen2,unresolved_diverse,unresolved,-1.0,300004,oracle,1e-10,0.33155574140207994,0.28283383265338263,0.26827369970813536,1.6313122350112805e-06
B_cells6_screen2,unresolved_diverse,unresolved,-1.0,300004,gcv,1e-10,0.33155574140207994,0.28283383265338263,0.26827369970813536,1.6313122350112805e-06
B_cells6_screen2,unresolved_diverse,unresolved,-1.0,300005,oracle,1e-10,0.5100136629577807,0.4933394071654491,0.24828510285543137,2.9585335621580857e-06
B_cells6_screen2,unresolved_diverse,unresolved,-1.0,300005,gcv,1e-10,0.5100136629577807,0.4933394071654491,0.24828510285543137,2.9585335621580857e-06
B_cells6_screen2,unresolved_diverse,unresolved,-1.0,300006,oracle,1e-10,0.22671385632892327,0.226178141041091,0.023289387631073813,1.598402353749201e-06
B_cells6_screen2,unresolved_diverse,unresolved,-1.0,300006,gcv,1e-10,0.22671385632892327,0.226178141041091,0.023289387631073813,1.598402353749201e-06
B_cells6_screen2,unresolved_diverse,unresolved,-1.0,300007,oracle,1e-10,0.1660337808807048,0.16293228685045946,0.05049550021872002,1.2577226113603935e-06
B_cells6_screen2,unresolved_diverse,unresolved,-1.0,300007,gcv,1e-10,0.1660337808807048,0.16293228685045946,0.05049550021872002,1.2577226113603935e-06
B_cells6_screen2,unresolved_diverse,unresolved,100.0,300000,oracle,6.02089449333615,0.6717971245878213,0.6708298138570066,0.0747541984600968,5.325259635664987
