arm,estimator,snr0,regime,n_truths,n_draws,seconds,peak_rss_mb,iterations,note,freeze_sha256
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,30.0,validation_in_class,512,5,0.4600992202758789,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,30.0,validation_off_grid,320,5,0.2948274612426758,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,30.0,validation_ood,256,5,0.21921896934509277,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,30.0,validation_in_class,512,5,0.4626319408416748,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,30.0,validation_off_grid,320,5,0.3063075542449951,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,30.0,validation_ood,256,5,0.23508429527282715,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,30.0,validation_in_class,512,5,0.45549917221069336,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,30.0,validation_off_grid,320,5,0.2955198287963867,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,30.0,validation_ood,256,5,0.24868202209472656,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,100.0,validation_in_class,512,5,0.49187374114990234,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,100.0,validation_off_grid,320,5,0.31676769256591797,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,100.0,validation_ood,256,5,0.24794626235961914,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,validation_in_class,512,5,0.45185232162475586,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,validation_off_grid,320,5,0.3009495735168457,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,validation_ood,256,5,0.25272488594055176,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,100.0,validation_in_class,512,5,0.4265615940093994,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,100.0,validation_off_grid,320,5,0.283524751663208,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,100.0,validation_ood,256,5,0.22228789329528809,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,100.0,validation_in_class,512,5,0.47301673889160156,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,100.0,validation_off_grid,320,5,0.31890082359313965,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,100.0,validation_ood,256,5,0.25273752212524414,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,100.0,validation_in_class,512,5,0.47901439666748047,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,100.0,validation_off_grid,320,5,0.2928745746612549,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,100.0,validation_ood,256,5,0.24570870399475098,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,300.0,validation_in_class,512,5,0.44708824157714844,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,300.0,validation_off_grid,320,5,0.2985696792602539,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,300.0,validation_ood,256,5,0.26209139823913574,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,RIDGE_IDENTITY,300.0,validation_in_class,512,5,0.4732372760772705,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,RIDGE_IDENTITY,300.0,validation_off_grid,320,5,0.2912898063659668,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,RIDGE_IDENTITY,300.0,validation_ood,256,5,0.2386307716369629,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,300.0,validation_in_class,512,5,0.4779195785522461,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,300.0,validation_off_grid,320,5,0.2957267761230469,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,300.0,validation_ood,256,5,0.2239069938659668,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,300.0,validation_in_class,512,5,0.47346997261047363,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,300.0,validation_off_grid,320,5,0.3138847351074219,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,300.0,validation_ood,256,5,0.24668121337890625,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,300.0,validation_in_class,512,5,0.44921064376831055,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,300.0,validation_off_grid,320,5,0.296245813369751,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,300.0,validation_ood,256,5,0.24883747100830078,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,1000.0,validation_in_class,512,5,0.5200273990631104,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,1000.0,validation_off_grid,320,5,0.3077116012573242,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,1000.0,validation_ood,256,5,0.23954248428344727,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,RIDGE_IDENTITY,1000.0,validation_in_class,512,5,0.5318117141723633,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,RIDGE_IDENTITY,1000.0,validation_off_grid,320,5,0.2996690273284912,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,RIDGE_IDENTITY,1000.0,validation_ood,256,5,0.24470210075378418,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,1000.0,validation_in_class,512,5,0.43576669692993164,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,1000.0,validation_off_grid,320,5,0.27147912979125977,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,1000.0,validation_ood,256,5,0.24026012420654297,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,1000.0,validation_in_class,512,5,0.45554041862487793,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,1000.0,validation_off_grid,320,5,0.29079389572143555,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,1000.0,validation_ood,256,5,0.24089646339416504,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,1000.0,validation_in_class,512,5,0.5310742855072021,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,1000.0,validation_off_grid,320,5,0.3195621967315674,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,1000.0,validation_ood,256,5,0.24370026588439941,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
