family,index,class,off_manifold,canary,n_multi_before,n_merged,merger_rate,representation_floor_median,representation_floor_max
m1_rotating_crescent,15,L448_contrast,False,False,0,0,0.0,22.169807437556546,22.276950294699404
m1_rotating_crescent,15,L896_radial_enriched,False,False,0,0,0.0,0.23809523809523603,0.34523809523809645
m1_rotating_crescent,16,L448_contrast,False,False,0,0,0.0,1.4285714285714288,1.4285714285714288
m1_rotating_crescent,16,L896_radial_enriched,False,False,0,0,0.0,0.0,0.0
m1_rotating_crescent,17,L448_contrast,False,False,0,0,0.0,0.23809523809523656,0.23809523809523656
m1_rotating_crescent,17,L896_radial_enriched,False,False,0,0,0.0,0.23809523809523656,0.23809523809523656
m1_rotating_crescent,18,L448_contrast,False,False,0,0,0.0,0.7142857142857142,0.7142857142857142
m1_rotating_crescent,18,L896_radial_enriched,False,False,0,0,0.0,0.4761904761904775,0.4761904761904775
m1_rotating_crescent,19,L448_contrast,False,False,0,0,0.0,66.03323183647916,66.03323183647916
m1_rotating_crescent,19,L896_radial_enriched,False,False,0,0,0.0,0.23809523809523975,0.23809523809523975
m1_rotating_crescent,20,L448_contrast,False,False,0,0,0.0,22.169807437556546,22.169807437556546
m1_rotating_crescent,20,L896_radial_enriched,False,False,0,0,0.0,0.4761904761904775,0.4761904761904775
m1_rotating_crescent,21,L448_contrast,False,False,0,0,0.0,1.1904761904761898,1.1904761904761898
m1_rotating_crescent,21,L896_radial_enriched,False,False,0,0,0.0,0.0,0.0
m1_rotating_crescent,22,L448_contrast,False,False,0,0,0.0,22.88409315184226,22.88409315184226
m1_rotating_crescent,22,L896_radial_enriched,False,False,0,0,0.0,0.23809523809523697,0.23809523809523697
m1_rotating_crescent,23,L448_contrast,False,False,0,0,0.0,23.360283628032736,23.381993664050377
m1_rotating_crescent,23,L896_radial_enriched,False,False,0,0,0.0,0.0,0.24999999999999914
m2_structural_mode,0,L448_contrast,False,False,61,0,0.0,2.3809523809523796,2.3809523809523796
m2_structural_mode,0,L896_radial_enriched,False,False,61,0,0.0,0.0,0.0
m2_structural_mode,1,L448_contrast,False,False,61,0,0.0,88.6792297502262,88.6792297502262
m2_structural_mode,1,L896_radial_enriched,False,False,61,0,0.0,0.0,0.0
m2_structural_mode,2,L448_contrast,False,False,61,0,0.0,0.9523809523809516,0.9523809523809516
m2_structural_mode,2,L896_radial_enriched,False,False,61,0,0.0,0.9523809523809516,0.9523809523809516
m2_structural_mode,3,L448_contrast,False,False,61,0,0.0,88.67922975022618,88.67922975022618
m2_structural_mode,3,L896_radial_enriched,False,False,61,0,0.0,0.4761904761904778,0.4761904761904778
m2_structural_mode,4,L448_contrast,False,False,61,0,0.0,1.4285714285714284,1.4285714285714284
m2_structural_mode,4,L896_radial_enriched,False,False,61,0,0.0,0.0,0.0
m2_structural_mode,5,L448_contrast,False,False,61,0,0.0,1.4285714285714284,1.5135442928869343
m2_structural_mode,5,L896_radial_enriched,False,False,61,0,0.0,0.0,0.4999999999999983
m2_structural_mode,6,L448_contrast,False,False,61,0,0.0,87.72684879784524,87.72684879784524
m2_structural_mode,6,L896_radial_enriched,False,False,61,0,0.0,43.86342439892262,43.86342439892262
m2_structural_mode,7,L448_contrast,False,False,61,0,0.0,3.8095238095238075,3.8095238095238075
m2_structural_mode,7,L896_radial_enriched,False,False,61,0,0.0,44.81580535130357,44.81580535130357
m2_structural_mode,8,L448_contrast,False,False,61,0,0.0,87.72684879784524,87.72684879784524
m2_structural_mode,8,L896_radial_enriched,False,False,61,0,0.0,0.0,0.0
m2_structural_mode,9,L448_contrast,False,False,61,0,0.0,3.809523809523808,3.8421962020866127
m2_structural_mode,9,L896_radial_enriched,False,False,61,0,0.0,0.9523809523809513,1.0756530474358592
m2_structural_mode,10,L448_contrast,False,False,61,0,0.0,3.3333333333333353,3.370624736026117
m2_structural_mode,10,L896_radial_enriched,False,False,61,0,0.0,0.0,0.5000000000000028
m2_structural_mode,11,L448_contrast,False,False,61,0,0.0,44.81580535130357,44.81580535130357
m2_structural_mode,11,L896_radial_enriched,False,False,61,0,0.0,0.4761904761904778,0.4761904761904778
m2_structural_mode,12,L448_contrast,False,False,61,0,0.0,1.9692937601668776,1.9692937601668787
m2_structural_mode,12,L896_radial_enriched,False,False,61,0,0.0,1.0756530474358583,1.0756530474358605
m2_structural_mode,13,L448_contrast,False,False,61,0,0.0,0.4761904761904731,0.4761904761904731
m2_structural_mode,13,L896_radial_enriched,False,False,61,0,0.0,0.4761904761904731,0.4761904761904731
m2_structural_mode,14,L448_contrast,False,False,61,0,0.0,3.3333333333333353,3.3333333333333353
m2_structural_mode,14,L896_radial_enriched,False,False,61,0,0.0,0.0,0.0
m2_structural_mode,15,L448_contrast,False,False,61,0,0.0,44.33961487511309,44.33961487511309
m2_structural_mode,15,L896_radial_enriched,False,False,61,0,0.0,0.0,0.0
m2_structural_mode,16,L448_contrast,False,False,61,0,0.0,2.3809523809523796,2.3809523809523796
m2_structural_mode,16,L896_radial_enriched,False,False,61,0,0.0,0.0,0.0
