regime,arm,estimator,snr0,mean_direct,mean_arm,cell_mean,median,mean_ci_low,mean_ci_high,median_ci_low,median_ci_high,n_truths,n_cells,n_families_improved,n_families,meets_materiality,improved_circular_hotspot_trajectory,improved_flare_birth_motion_decay,improved_m1_rotating_crescent,improved_m2_structural_mode,improved_plunging_feature,improved_two_hotspot_trajectories
estimated_from_data,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,0.6490974497080003,0.52312455665044,0.1746068928120972,0.17818500635143056,0.10815829457526911,0.23602271134107294,0.12624646072742438,0.22462367566755626,48,6,6,6,True,True,True,True,True,True,True
estimated_from_data,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,0.6490974497080003,0.7007344083161963,-0.09414465042630937,-0.10063875189873467,-0.16667046555111992,-0.029083128642949953,-0.12044673798244995,-0.07310464138339506,48,6,0,6,False,False,False,False,False,False,False
estimated_from_data,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,0.6490974497080003,0.6099415327906555,0.03208100508874135,0.04548010333162733,-0.057533590792081354,0.10994978590390175,-0.03485411883865988,0.17472241440284897,48,6,4,6,False,True,False,True,True,False,True
joint_inversion,RESOLVED_PHYSICAL,TSVD,100.0,0.6849237957623311,0.5481960434598713,0.18929535801714867,0.1796233954768636,0.1365246405390658,0.2373433426789882,0.14307406033684367,0.2335249073046437,48,6,6,6,True,True,True,True,True,True,True
joint_inversion,TOTAL_FLUX,TSVD,100.0,0.6849237957623311,0.6958967829539886,-0.018863998623855162,-0.030246452869777615,-0.04809341500038191,0.012042340583452004,-0.07694290065099248,0.007833534514212273,48,6,2,6,False,False,False,False,True,False,True
joint_inversion,UNRESOLVED_IMAGE,TSVD,100.0,0.6849237957623311,0.615618808617373,0.10299927489355849,0.1013514383867323,0.05742855825748301,0.1508852815642708,0.03070109824200687,0.17363697752847976,48,6,5,6,False,True,True,True,True,False,True
joint_inversion,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.6630606502442453,0.5186292764577297,0.20648435435049953,0.20169290518622374,0.15983479928849245,0.2535340987115466,0.15577639392503678,0.25977850341438763,48,6,6,6,True,True,True,True,True,True,True
joint_inversion,TOTAL_FLUX,RIDGE_IDENTITY,100.0,0.6630606502442453,0.6958930884580065,-0.05758829121206981,-0.07023103961440247,-0.09367013392472887,-0.019352796770503788,-0.10634349521632505,-0.03324833368938392,48,6,3,6,False,True,False,False,True,False,True
joint_inversion,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.6630606502442453,0.6004061669415695,0.08287105926295019,0.07107620855935565,0.022349858452789643,0.1451441434979578,-0.010407170627168888,0.18580842217161103,48,6,5,6,False,True,True,True,True,False,True
joint_inversion,RESOLVED_PHYSICAL,TSVD,1000.0,0.6851720172137666,0.5446262091753359,0.20284920748568339,0.20673913832434415,0.15217915058717985,0.2540215542608871,0.14838440693839508,0.25896908834004717,48,6,6,6,True,True,True,True,True,True,True
joint_inversion,TOTAL_FLUX,TSVD,1000.0,0.6851720172137666,0.7041949804528852,-0.030361193242385853,-0.03505947329849424,-0.061704704615013185,0.0028735401611568808,-0.0716909144434996,-0.002019139069314184,48,6,2,6,False,False,True,False,False,False,True
joint_inversion,UNRESOLVED_IMAGE,TSVD,1000.0,0.6851720172137666,0.6180213220444326,0.10048569338221125,0.09714967347726428,0.054185737377391074,0.14902850254870054,0.0272421819203996,0.16326305274467598,48,6,5,6,False,True,True,True,True,False,True
joint_inversion,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,0.663718993994554,0.5201409770370239,0.20951788092091542,0.20741417804683498,0.15883830555764133,0.2618576854576539,0.16576331285063473,0.2844956962099722,48,6,6,6,True,True,True,True,True,True,True
joint_inversion,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,0.663718993994554,0.7042051883609565,-0.06992776484312314,-0.06578650635545548,-0.1093975965712941,-0.028720689410061947,-0.12868706159989485,-0.037691885138738376,48,6,1,6,False,True,False,False,False,False,False
joint_inversion,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,0.663718993994554,0.6099442010413411,0.0684694228856124,0.06049759042614035,0.005765912457817986,0.13342057369402502,0.015105108393827263,0.14949559055161724,48,6,5,6,False,True,True,True,True,False,True
