family,index,truth_seed,zero_mean_max_abs,min_total,n_ambiguous,n_single_resolved,n_multi_resolved,n_blended,n_dead,hash_dj,hash_labels
m2_structural_mode,9,3158493243980428690,2.7458161172024247e-18,0.2837233597383158,0,0,61,0,0,91a3969ff1a71e4b53b1c743112dcbf940e07b02a19cad082253f60ab03218fa,c0b897b80f6fb4f8cb255580bba35938b13a16a6b1c450644bc372c12f933cf0
plunging_feature,0,6108885610061864813,1.3633842319005067e-17,0.32887690216497667,0,61,0,0,0,8253904a6da971c5bcc345a9a283717e5f9b18c766c74c1feb43a5b89f18a330,58ae5b752dfa8badcfb13dfac1575c69eabe9099268ce6bb1dfa924f1c2df5be
plunging_feature,1,1897112297641070875,2.352379901114643e-17,0.43568515266218344,0,61,0,0,0,dabd5f5924bea46ba9c06e6f4f9e419297b3a51353aafa9ab41567384c4b24a0,58ae5b752dfa8badcfb13dfac1575c69eabe9099268ce6bb1dfa924f1c2df5be
plunging_feature,2,7941592395642040647,1.1533200609814504e-17,0.2027633429497287,0,61,0,0,0,cf9adbeee733ae89690a283026168af08a2c76ba9337b5a04fc36ae7576bf250,58ae5b752dfa8badcfb13dfac1575c69eabe9099268ce6bb1dfa924f1c2df5be
plunging_feature,3,8726686941476372457,7.589679905194548e-18,0.21157184707250715,0,61,0,0,0,49a1c4c6bba32a770ae328fc1d204c6eae37fb6982473e166e9909dfcea9ee7e,58ae5b752dfa8badcfb13dfac1575c69eabe9099268ce6bb1dfa924f1c2df5be
plunging_feature,4,917392639582007328,1.3823573227244995e-17,0.266266983827095,0,61,0,0,0,57839ffc3917961167fb63fc1b5c742cb922f693f0b81050ac370bb32dec2331,58ae5b752dfa8badcfb13dfac1575c69eabe9099268ce6bb1dfa924f1c2df5be
plunging_feature,5,1523749260541245422,1.2268425208031286e-17,0.2403688498671494,0,61,0,0,0,2acea4223a8b02372d716f86c2f23e71b61f49926fc21032f4a3872d737acc9b,58ae5b752dfa8badcfb13dfac1575c69eabe9099268ce6bb1dfa924f1c2df5be
plunging_feature,6,6894392995300068968,9.070875832146278e-18,0.3019757710624593,0,61,0,0,0,cec708a79ce0417897a17c2d737245c4090bb9858f9a856a7211c39fb8a9fe1c,58ae5b752dfa8badcfb13dfac1575c69eabe9099268ce6bb1dfa924f1c2df5be
plunging_feature,7,7570990210988327271,5.1211611990995e-18,0.22561365825733354,0,61,0,0,0,818b62c1ad1c9afcd4188f03d48db9e8cee6179d6383c17bd0635e5f1b978c53,58ae5b752dfa8badcfb13dfac1575c69eabe9099268ce6bb1dfa924f1c2df5be
plunging_feature,8,1855901925291884908,1.057097118173367e-17,0.30286332081571216,0,61,0,0,0,c45a1db329098b8f76855c6deaa2762491461bae5a19fb973ac8e411c7fccace,58ae5b752dfa8badcfb13dfac1575c69eabe9099268ce6bb1dfa924f1c2df5be
plunging_feature,9,8111457700952735478,4.878234796804927e-18,0.2857927847690459,0,61,0,0,0,652149f02cfa0c5e40b9cf2bc4066d0d47dbf9a256545890a46a698a73cd0920,58ae5b752dfa8badcfb13dfac1575c69eabe9099268ce6bb1dfa924f1c2df5be
two_hotspot_trajectories,0,5624045176772942610,3.0763707248684154e-18,0.36033072165050317,0,0,61,0,0,92f074f37815cfb69065607a96717bbd9ca0b34e6131c8693785c82523bbdaf2,c0b897b80f6fb4f8cb255580bba35938b13a16a6b1c450644bc372c12f933cf0
two_hotspot_trajectories,1,3454253363523407227,1.4093307596764828e-18,0.1961899739536944,0,0,61,0,0,a725852021f8469cf4ede6d562e4945c45674a5b2d290680f246421247814f6e,c0b897b80f6fb4f8cb255580bba35938b13a16a6b1c450644bc372c12f933cf0
two_hotspot_trajectories,2,6315155673349442971,2.263272035063465e-18,0.22854194065146138,0,0,0,61,0,f339e1b050dd72c6fa76739b6b3fc416245e0ff03daf3617ab41faf843d59613,5f7af40a9a04aefc0aefad35fd8e695f34e53307585fabbc809ad26054ef6c21
two_hotspot_trajectories,3,7010249636291128236,4.780653954477609e-18,0.22668570874582097,0,0,0,61,0,f5d96f19e6848029a3153af5248c8e900f9ba7fde0aa377d12b9db9a1c56be6e,5f7af40a9a04aefc0aefad35fd8e695f34e53307585fabbc809ad26054ef6c21
two_hotspot_trajectories,4,7624792229858589339,1.5246613729572072e-18,0.20936037869463064,0,0,61,0,0,49c81d620221b4133b27d4382a9dc9fe3d6f194da55670e374a54f02af4cd216,c0b897b80f6fb4f8cb255580bba35938b13a16a6b1c450644bc372c12f933cf0
two_hotspot_trajectories,5,3770649328081555547,7.17055741498128e-18,0.2071604295821371,0,0,61,0,0,3f04314d5f3149a9bf20573ae77f92c7b0b6def1401b6191e39c70690a639613,c0b897b80f6fb4f8cb255580bba35938b13a16a6b1c450644bc372c12f933cf0
two_hotspot_trajectories,6,1470352118426700338,7.137364335190662e-18,0.2941553890916088,0,0,61,0,0,ec8100d8b0a05493600d59af82a37910bcb34fe69e40f3a11aff47d7480930b3,c0b897b80f6fb4f8cb255580bba35938b13a16a6b1c450644bc372c12f933cf0
two_hotspot_trajectories,7,5972525189893983349,4.177637221353061e-18,0.20852796957410558,0,0,61,0,0,ac46923144362eb0febc3ba7dcfd01ee9ee18dc5fdd4bd3b4e95a1236de01089,c0b897b80f6fb4f8cb255580bba35938b13a16a6b1c450644bc372c12f933cf0
two_hotspot_trajectories,8,6015987985606033396,4.9454018625442325e-18,0.3446697805837453,0,0,61,0,0,53fe07e98b27747c3a76fc57352b1e58cb8da3e3b214cfebfeebe0428124bb9a,c0b897b80f6fb4f8cb255580bba35938b13a16a6b1c450644bc372c12f933cf0
two_hotspot_trajectories,9,3485021106720537253,3.542291694136663e-18,0.23707206721836863,0,0,0,61,0,c797a53001a17795ead01451336a6a4ca665db60e92448050ac76b341e1fe865,5f7af40a9a04aefc0aefad35fd8e695f34e53307585fabbc809ad26054ef6c21
