regime,family,split,index,relative_error,max_absolute_error,bias,min_estimate,n_clipped,clipped_fraction
estimated_from_data,flare_birth_motion_decay,selection,4,0.015713358357569672,0.053891379068512824,7.653946920704868e-15,0.1928624306952557,0.0,0.0
estimated_from_data,flare_birth_motion_decay,selection,5,0.019031915440737877,0.07682637120760338,2.2593038551121937e-15,0.30422543979560485,0.0,0.0
estimated_from_data,flare_birth_motion_decay,selection,6,0.016302906265811202,0.06103403483942649,4.9271350888169255e-15,0.250653107664285,0.0,0.0
estimated_from_data,flare_birth_motion_decay,selection,7,0.009868741929450984,0.0385840945062117,7.968452286899463e-15,0.2839902754217601,0.0,0.0
estimated_from_data,m1_rotating_crescent,pilot,0,0.019007386727680254,0.03502546156331077,3.2486166534617667e-15,0.2195969758619322,0.0,0.0
estimated_from_data,m1_rotating_crescent,pilot,1,0.010696877006475848,0.03269250476190644,-7.91033905045424e-17,0.35106072699092566,0.0,0.0
estimated_from_data,m1_rotating_crescent,pilot,2,0.01266879977977191,0.02246761579737866,5.739159147921669e-15,0.233394729995916,0.0,0.0
estimated_from_data,m1_rotating_crescent,pilot,3,0.02808810478314101,0.12146428384195951,4.8393580809324984e-15,0.3197385912669349,0.0,0.0
estimated_from_data,m1_rotating_crescent,pilot,4,0.01933164249155403,0.02786204381609783,4.870756575847679e-15,0.20325358059110613,0.0,0.0
estimated_from_data,m1_rotating_crescent,pilot,5,0.055822915440436244,0.15624752004952547,6.9898080379271475e-15,0.21872659943719347,0.0,0.0
estimated_from_data,m1_rotating_crescent,pilot,6,0.008849222226119353,0.024042390806086056,2.1804606731290478e-15,0.23930883221289193,0.0,0.0
estimated_from_data,m1_rotating_crescent,pilot,7,0.0124641342741177,0.048665367761818956,5.3131977983955635e-15,0.2650051693316092,0.0,0.0
estimated_from_data,m1_rotating_crescent,selection,0,0.014691540287753444,0.044645039009699516,5.999194196970592e-15,0.20114035877452285,0.0,0.0
estimated_from_data,m1_rotating_crescent,selection,1,0.017286875715648724,0.07983645516455695,4.603956105242446e-15,0.24335873947991393,0.0,0.0
estimated_from_data,m1_rotating_crescent,selection,2,0.015537371900612672,0.05894332557800275,1.808622696053419e-15,0.43803713726955307,0.0,0.0
estimated_from_data,m1_rotating_crescent,selection,3,0.0172450875335912,0.06342828577587478,5.447291923088571e-15,0.23124330682476393,0.0,0.0
estimated_from_data,m1_rotating_crescent,selection,4,0.038380300628937825,0.13590689014197088,6.0472460372551495e-15,0.28925735518923307,0.0,0.0
estimated_from_data,m1_rotating_crescent,selection,5,0.042660358419315904,0.12102105609179903,4.250072516143177e-15,0.17456025899196773,0.0,0.0
estimated_from_data,m1_rotating_crescent,selection,6,0.01013345202199277,0.031981365934776074,4.652615098743596e-15,0.2469442610122355,0.0,0.0
estimated_from_data,m1_rotating_crescent,selection,7,0.01692152825534704,0.053160553150273904,4.317379787011078e-15,0.27428925434287754,0.0,0.0
estimated_from_data,m2_structural_mode,pilot,0,0.016895232718620097,0.04414133469642656,4.765719069377283e-15,0.22338390425935625,0.0,0.0
estimated_from_data,m2_structural_mode,pilot,1,0.019597756679174495,0.08701447354328806,4.278001564106404e-15,0.3069326726794025,0.0,0.0
estimated_from_data,m2_structural_mode,pilot,2,0.014256713471699354,0.0204157198487942,4.873879078104437e-15,0.21302230422196608,0.0,0.0
estimated_from_data,m2_structural_mode,pilot,3,0.011685983257869034,0.034401116763820516,4.614190973750709e-15,0.26186278130406815,0.0,0.0
estimated_from_data,m2_structural_mode,pilot,4,0.017967063769089638,0.03415823830794884,3.515243651719402e-15,0.2406883931008874,0.0,0.0
estimated_from_data,m2_structural_mode,pilot,5,0.01844361098729985,0.07167450868212244,5.429944688328803e-15,0.2507347450647904,0.0,0.0
estimated_from_data,m2_structural_mode,pilot,6,0.019412903455444077,0.07044709973431496,3.760013134179729e-15,0.2316614130631305,0.0,0.0
estimated_from_data,m2_structural_mode,pilot,7,0.017287337784775134,0.05406004988229307,3.3298017121374812e-15,0.2528367045586516,0.0,0.0
estimated_from_data,m2_structural_mode,selection,0,0.05649809846221969,0.19226553930053236,2.240482105397845e-15,0.26954671854738893,0.0,0.0
estimated_from_data,m2_structural_mode,selection,1,0.0077044387521273475,0.03199658097135627,4.255016478049711e-15,0.3904813386980249,0.0,0.0
estimated_from_data,m2_structural_mode,selection,2,0.037059265671834984,0.13046870455575066,4.837536621282723e-15,0.2844740731882818,0.0,0.0
estimated_from_data,m2_structural_mode,selection,3,0.015447819237344437,0.0332063822764086,3.5327643588267676e-15,0.3178972820120759,0.0,0.0
estimated_from_data,m2_structural_mode,selection,4,0.01510324234202643,0.05604603791512186,2.008462840485947e-15,0.2922728607211973,0.0,0.0
estimated_from_data,m2_structural_mode,selection,5,0.018642146749780923,0.054156354828830855,6.287245030156541e-15,0.1910163057233648,0.0,0.0
estimated_from_data,m2_structural_mode,selection,6,0.01298280839577692,0.06444496034542535,4.959140736948697e-15,0.28107534563971415,0.0,0.0
estimated_from_data,m2_structural_mode,selection,7,0.018198685432545537,0.05692553884167717,3.2050750942147486e-15,0.2462361755919086,0.0,0.0
estimated_from_data,plunging_feature,pilot,0,0.011523924612184995,0.04290956646018196,-6.388119200284593e-17,0.2904754121045072,0.0,0.0
estimated_from_data,plunging_feature,pilot,1,0.016441181910146273,0.06364599397784998,-6.640521466039218e-16,0.3000370829912508,0.0,0.0
estimated_from_data,plunging_feature,pilot,2,0.020425978692100874,0.07061917180361177,1.9354309821473238e-15,0.2353638688290276,0.0,0.0
estimated_from_data,plunging_feature,pilot,3,0.01529927941114054,0.052089264970107685,2.683357008814724e-15,0.23780146326929874,0.0,0.0
estimated_from_data,plunging_feature,pilot,4,0.009114903012170005,0.04302253446517623,-7.549516567451064e-16,0.3570572362372723,0.0,0.0
estimated_from_data,plunging_feature,pilot,5,0.01569938654070615,0.021271799928828827,2.6830968002933276e-15,0.196930052942219,0.0,0.0
estimated_from_data,plunging_feature,pilot,6,0.01169201371895995,0.059826446214669815,3.4932126635744965e-15,0.3167289675842605,0.0,0.0
estimated_from_data,plunging_feature,pilot,7,0.01572516104533108,0.03124488886556054,4.477581500017536e-15,0.26227664789953087,0.0,0.0
estimated_from_data,plunging_feature,selection,0,0.01085260956948886,0.024776597254728472,2.7740830466083112e-15,0.21384128526128168,0.0,0.0
estimated_from_data,plunging_feature,selection,1,0.013339656398060505,0.04540994807368093,6.053317569421068e-15,0.2779005075858733,0.0,0.0
estimated_from_data,plunging_feature,selection,2,0.012907866006156716,0.06254423221942051,5.001207781241135e-15,0.25527130596990655,0.0,0.0
estimated_from_data,plunging_feature,selection,3,0.01425603692283125,0.022337737458553053,8.681163427004535e-15,0.19065072781014006,0.0,0.0
estimated_from_data,plunging_feature,selection,4,0.020480796744446115,0.04288452305487245,6.7661154456999385e-15,0.1987804111036178,0.0,0.0
estimated_from_data,plunging_feature,selection,5,0.01237675690036597,0.0290746992522094,3.7582784107037526e-15,0.19236288765198398,0.0,0.0
estimated_from_data,plunging_feature,selection,6,0.014360930097221069,0.027531810740045293,2.4388477348757933e-15,0.25925646933604835,0.0,0.0
estimated_from_data,plunging_feature,selection,7,0.011992499932581993,0.031774746785412145,8.466751605373801e-15,0.2336996421874791,0.0,0.0
