delay_structure,spatial_structure,attenuation,gamma,seed,max_order,numerical_rank,operational_rank,new_algebraic_modes,new_operational_modes,sigma_min_positive,kappa_positive
constant,rotation,equalized,0.0,9000,5,24,16,0,2,0.1487402474500668,14.318360165318444
constant,rotation,exponential,0.3,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
constant,rotation,exponential,0.3,9000,1,24,7,8,3,1.6419013450247172e-05,78176.25749938072
constant,rotation,exponential,0.3,9000,2,24,8,0,1,0.00031644983140020867,4332.318279823116
constant,rotation,exponential,0.3,9000,3,24,8,0,0,0.00271338872935323,514.5778259062836
constant,rotation,exponential,0.3,9000,4,24,8,0,0,0.015001505791612512,93.58783744179306
constant,rotation,exponential,0.3,9000,5,24,8,0,0,0.05108777802579497,27.5659738075026
constant,rotation,exponential,0.6,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
constant,rotation,exponential,0.6,9000,1,24,7,8,3,1.6351809301536936e-05,72406.78276935988
constant,rotation,exponential,0.6,9000,2,24,7,0,0,0.0002632594864419444,4606.082834206443
constant,rotation,exponential,0.6,9000,3,24,7,0,0,0.0019214344329630273,633.0867225659664
constant,rotation,exponential,0.6,9000,4,24,7,0,0,0.00731996557810041,166.22928470096454
constant,rotation,exponential,0.6,9000,5,24,7,0,0,0.016559397021074087,73.4833330703572
constant,rotation,exponential,0.9,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
constant,rotation,exponential,0.9,9000,1,24,5,8,1,1.6230514426691432e-05,69353.40866423368
constant,rotation,exponential,0.9,9000,2,24,6,0,1,0.0002218210485206486,5115.170803050904
constant,rotation,exponential,0.9,9000,3,24,6,0,0,0.0013444616806855016,844.3943571188435
constant,rotation,exponential,0.9,9000,4,24,6,0,0,0.0035292209063976536,321.68033392703126
constant,rotation,exponential,0.9,9000,5,24,6,0,0,0.005627803461472769,201.72741307721628
constant,rotation_shear,equalized,0.0,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
constant,rotation_shear,equalized,0.0,9000,1,24,9,8,5,1.403525617682983e-05,113065.09507421042
constant,rotation_shear,equalized,0.0,9000,2,24,11,0,2,0.0003824709912497106,5328.245231709286
constant,rotation_shear,equalized,0.0,9000,3,24,14,0,3,0.004439844840127798,535.3376306367489
constant,rotation_shear,equalized,0.0,9000,4,24,17,0,3,0.04460377872009164,60.694701902576995
constant,rotation_shear,equalized,0.0,9000,5,24,20,0,3,0.16812864058965699,19.373968135318332
constant,rotation_shear,exponential,0.3,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
constant,rotation_shear,exponential,0.3,9000,1,24,8,8,4,1.4008964330400679e-05,97823.70851087954
constant,rotation_shear,exponential,0.3,9000,2,24,9,0,1,0.0003185843001772148,4825.184804036554
constant,rotation_shear,exponential,0.3,9000,3,24,9,0,0,0.002972376804303541,540.3875317136486
constant,rotation_shear,exponential,0.3,9000,4,24,9,0,0,0.02198037567275155,74.31175138821008
constant,rotation_shear,exponential,0.3,9000,5,24,10,0,1,0.09708392483003865,16.985230977029744
constant,rotation_shear,exponential,0.6,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
constant,rotation_shear,exponential,0.6,9000,1,24,7,8,3,1.396132860438951e-05,88521.14961594174
constant,rotation_shear,exponential,0.6,9000,2,24,7,0,0,0.0002656460751424725,4865.273091360506
constant,rotation_shear,exponential,0.6,9000,3,24,7,0,0,0.0020950516335309665,622.290571739966
constant,rotation_shear,exponential,0.6,9000,4,24,7,0,0,0.010702843316561263,121.95620007219678
constant,rotation_shear,exponential,0.6,9000,5,24,7,0,0,0.030941209122984908,42.1951618423123
constant,rotation_shear,exponential,0.9,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
constant,rotation_shear,exponential,0.9,9000,1,24,7,8,3,1.3875409116247377e-05,83286.85604134477
constant,rotation_shear,exponential,0.9,9000,2,24,7,0,0,0.00022267487444383406,5271.019163397522
constant,rotation_shear,exponential,0.9,9000,3,24,7,0,0,0.0014879594482760448,789.9983381430964
constant,rotation_shear,exponential,0.9,9000,4,24,7,0,0,0.0050342212933767285,233.51698039529015
constant,rotation_shear,exponential,0.9,9000,5,24,7,0,0,0.009852546691536089,119.31747928819578
constant,independent,equalized,0.0,9000,0,16,0,16,0,1.3363263005362098e-05,70812.89018565182
constant,independent,equalized,0.0,9000,1,24,3,8,3,3.0046456904448165e-05,33929.12809597848
constant,independent,equalized,0.0,9000,2,24,6,0,3,0.00029651723503183763,4721.3125789992
constant,independent,equalized,0.0,9000,3,24,8,0,2,0.004591991374336841,314.4070557342876
constant,independent,equalized,0.0,9000,4,24,9,0,1,0.0339365654309359,44.53041782058983
constant,independent,equalized,0.0,9000,5,24,11,0,2,0.11138731653421834,14.783930593289206
constant,independent,exponential,0.3,9000,0,16,0,16,0,1.3363263005362098e-05,70812.89018565182
