geometry,spin,inclination_deg,arm,retarded_age,information_per_snr2,information_at_reference_snr,lambda_max_per_snr2,lambda_min_per_snr2,log_information_volume_at_reference_snr
a000_i020,0.0,20,RESOLVED_PHYSICAL,236.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,RESOLVED_PHYSICAL,240.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,RESOLVED_PHYSICAL,244.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,RESOLVED_PHYSICAL,248.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,RESOLVED_PHYSICAL,252.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,UNRESOLVED_IMAGE,0.0,0.06417151876050833,641.7151876050833,0.4644768565223552,4.5579169487563556e-05,127.39331493120942
a000_i020,0.0,20,UNRESOLVED_IMAGE,4.0,0.05589630586129277,558.9630586129276,0.4644791462531508,3.863120608225271e-05,123.92864226145807
a000_i020,0.0,20,UNRESOLVED_IMAGE,8.0,0.04313468398483852,431.34683984838523,0.4593096546425349,1.027137774271024e-05,115.23282569983915
a000_i020,0.0,20,UNRESOLVED_IMAGE,12.0,0.03187098479090509,318.7098479090509,0.41707361694172373,7.334636962124827e-07,100.67360050446176
a000_i020,0.0,20,UNRESOLVED_IMAGE,16.0,0.018350558842981042,183.50558842981042,0.2518157615226014,2.0174779996935792e-08,73.0894491155747
a000_i020,0.0,20,UNRESOLVED_IMAGE,20.0,0.003489615082954105,34.89615082954105,0.04452647377705128,4.891708588437927e-10,33.46596574250712
a000_i020,0.0,20,UNRESOLVED_IMAGE,24.0,6.318349400721768e-05,0.6318349400721768,0.0007724779607534928,5.543875983334039e-10,7.568728942038309
a000_i020,0.0,20,UNRESOLVED_IMAGE,28.0,4.921626847727827e-06,0.049216268477278266,0.00010497798012748995,1.5437691751939814e-09,3.4747061231221297
a000_i020,0.0,20,UNRESOLVED_IMAGE,32.0,5.328115089680609e-06,0.05328115089680609,9.194115761303582e-05,3.851165197462524e-09,3.302377277697691
a000_i020,0.0,20,UNRESOLVED_IMAGE,36.0,5.158220033926533e-06,0.05158220033926533,5.760851601019925e-05,5.920508723296853e-09,2.434086903953166
a000_i020,0.0,20,UNRESOLVED_IMAGE,40.0,4.467425114369698e-06,0.044674251143696976,3.252997819879929e-05,4.038124960147678e-09,1.5282783753825129
a000_i020,0.0,20,UNRESOLVED_IMAGE,44.0,3.810847298574277e-06,0.03810847298574277,2.1198146958052524e-05,3.1718927967666663e-09,0.9524678017119513
a000_i020,0.0,20,UNRESOLVED_IMAGE,48.0,3.1989349775486462e-06,0.03198934977548646,1.4908076658793215e-05,2.567276693116914e-09,0.6183310328000526
a000_i020,0.0,20,UNRESOLVED_IMAGE,52.0,2.757240812226151e-06,0.02757240812226151,1.1194251722949244e-05,1.1591576206050149e-09,0.44551393428585956
a000_i020,0.0,20,UNRESOLVED_IMAGE,56.0,2.2986975529994202e-06,0.0229869755299942,8.763404518166506e-06,2.991737515295475e-10,0.3288409902780616
a000_i020,0.0,20,UNRESOLVED_IMAGE,60.0,1.78625110959621e-06,0.0178625110959621,6.769761968138949e-06,7.104519766810667e-11,0.23413759998587957
a000_i020,0.0,20,UNRESOLVED_IMAGE,64.0,1.2611271738140724e-06,0.012611271738140724,3.711885091501569e-06,1.2701617333806886e-11,0.15879778853197177
a000_i020,0.0,20,UNRESOLVED_IMAGE,68.0,7.926818632508999e-07,0.007926818632508999,1.8666030654062243e-06,2.414365773910032e-12,0.09821346532613334
a000_i020,0.0,20,UNRESOLVED_IMAGE,72.0,4.5925926309055563e-07,0.0045925926309055565,1.3026008251778572e-06,2.31470051182766e-13,0.057524934457631155
a000_i020,0.0,20,UNRESOLVED_IMAGE,76.0,2.133369807088513e-07,0.002133369807088513,6.138258323073933e-07,1.5026933621928127e-14,0.02754298184315952
a000_i020,0.0,20,UNRESOLVED_IMAGE,80.0,5.286975361122181e-08,0.000528697536112218,2.869044501795986e-07,1.3293736175532373e-15,0.0070547274077121126
a000_i020,0.0,20,UNRESOLVED_IMAGE,84.0,7.314561143716824e-09,7.314561143716824e-05,7.30470817338359e-08,9.455735908605236e-17,0.0010038552249710213
a000_i020,0.0,20,UNRESOLVED_IMAGE,88.0,6.179498807278143e-10,6.179498807278143e-06,1.9145732421773734e-09,1.1096831810540471e-17,7.840987273097382e-05
a000_i020,0.0,20,UNRESOLVED_IMAGE,92.0,3.0158309208500336e-10,3.0158309208500335e-06,9.213688245576007e-10,8.317817087207052e-20,3.844491086689795e-05
