arm,estimator,snr0,regime,n_truths,n_draws,seconds,freeze_sha256
DIRECT_PHYSICAL,TSVD,100.0,OFF_GRID_ID,256,9,0.6893703937530518,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TSVD,100.0,OFF_GRID_OOD,64,9,0.18467926979064941,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,IN_CLASS_ID,256,9,0.6879909038543701,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,IN_CLASS_OOD,64,9,0.18321514129638672,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,OFF_GRID_ID,256,9,0.7155747413635254,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,OFF_GRID_OOD,64,9,0.19835162162780762,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,100.0,IN_CLASS_ID,256,9,0.6924710273742676,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,100.0,IN_CLASS_OOD,64,9,0.1772003173828125,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,100.0,OFF_GRID_ID,256,9,0.7432117462158203,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,100.0,OFF_GRID_OOD,64,9,0.17355895042419434,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
