source_class,arm,bank,family,index,retarded_age,structure_error_absolute,structure_error_normalized,in_old_band
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,42.0,4.797969080844171,1.0649990301751606,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,44.0,4.9039129567340325,1.0792931840082418,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,46.0,5.082058131103775,1.1281467823704647,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,48.0,5.340251327611312,1.1752482456261435,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,50.0,5.405855655310918,1.200092457388622,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,52.0,5.470133666673364,1.20377945137062,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,54.0,5.2682025577707075,1.1695719451776176,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,56.0,5.111453448675801,1.1248235597272715,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,58.0,4.894186304286468,1.0865483340412392,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,60.0,4.78838928941724,1.0537326428503242,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,62.0,4.64388532716855,1.03096507320501,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,64.0,4.612632718415248,1.015081292426735,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,66.0,4.554740492164911,1.0111367291613902,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,68.0,4.5975435608526345,1.0118093476034884,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,70.0,4.566330018966573,1.0136482721593993,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,72.0,4.611257691106168,1.0148992374170265,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,74.0,4.564330309144435,1.0131200124122048,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,76.0,4.589553886359133,1.0102162771611376,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,78.0,4.542384637185649,1.008142373711365,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,80.0,4.571717162853355,1.0064056041611025,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,82.0,4.528514110369227,1.0049359075374724,True
