arm,estimator,snr0,regime,family,hyperparameter,n_truths,L_stable_anchor,T_stable_anchor,old_band_normalized_error,old_band_absolute_error,freeze_sha256
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,1.0,IN_CLASS_ID,correlated_extended_field,0.01,512,0.0,-1.0,2.5370523120761534,2.571682217475745,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,1.0,IN_CLASS_ID,rotating_asymmetric_crescent,0.01,512,0.0,-1.0,1.9408878349358083,3.035836628718832,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,1.0,IN_CLASS_ID,single_orbiting_hotspot,0.01,512,0.0,-1.0,2.2855366046515404,2.6929544058785977,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,1.0,IN_CLASS_ID,two_independent_hotspots,0.01,512,0.0,-1.0,2.1509529490467565,2.8911406801879567,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,1.0,IN_CLASS_OOD,moving_flare_birth_decay,0.01,1024,0.0,-1.0,2.5920356960251403,2.6028296366593384,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,1.0,OFF_GRID_ID,correlated_extended_field,0.01,256,0.0,-1.0,2.5917677896947193,2.6361721356787067,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,1.0,OFF_GRID_ID,rotating_asymmetric_crescent,0.01,256,0.0,-1.0,2.307586524502617,2.7241929934142215,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,1.0,OFF_GRID_ID,single_orbiting_hotspot,0.01,256,0.0,-1.0,2.5465989694435724,2.577368982555177,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,1.0,OFF_GRID_ID,two_independent_hotspots,0.01,256,0.0,-1.0,2.4992388816288837,2.563706933246428,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,1.0,OFF_GRID_OOD,moving_flare_birth_decay,0.01,1024,0.0,-1.0,2.577987131537269,2.5786245928057934,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
