family,index,off_manifold,canary,age_M,level,multiplicity_label,centroid_r,centroid_phi,total_contrast,second_moment_rr,second_moment_pp,second_moment_rp,a_m1,a_m2,radial_mass_fraction_peak
two_hotspot_trajectories,7,False,False,34.0,2,2,20.773809087025715,5.616859239034226,35.51329699163947,0.014768805793764422,0.2132256150692656,0.0038253462202743125,0.897679831671936,0.6378672607780704,0.17159647404875478
two_hotspot_trajectories,7,False,False,36.0,2,2,20.773826112380423,5.596524567220913,35.507438839971286,0.014767884252026638,0.21328616552374163,0.003859797181964417,0.8976520033026656,0.6377816500831431,0.1716177125406237
two_hotspot_trajectories,7,False,False,38.0,2,2,20.774007761983313,5.576211130496558,35.50168131186824,0.014769118614797277,0.2133542099616896,0.0039022574592148017,0.8976209514334917,0.6376881722123614,0.17159430300747888
two_hotspot_trajectories,7,False,False,40.0,2,2,20.774024351142515,5.555849184174718,35.495878430952814,0.014769080323245401,0.21342051303449602,0.003935646205535209,0.8975905446015576,0.6375952941427655,0.1716029299895864
two_hotspot_trajectories,7,False,False,42.0,2,2,20.774155778970577,5.535500945107865,35.49127017885011,0.014768745190333757,0.2135263999856704,0.0039752429650944734,0.8975426646108036,0.6374556699843777,0.17161175358228495
two_hotspot_trajectories,7,False,False,44.0,2,2,20.774248386892218,5.51514736299667,35.48567812658023,0.014769686220774684,0.2136058522548108,0.00401343282696189,0.8975065189487235,0.6373480368899125,0.1715979971014057
two_hotspot_trajectories,7,False,False,46.0,2,2,20.774289113259933,5.494800247998679,35.479782701049785,0.014768989696543184,0.21367718051272272,0.004048719977008472,0.8974739006866919,0.6372492875077126,0.1716186915067289
two_hotspot_trajectories,7,False,False,48.0,2,2,20.774447774911604,5.47448023561855,35.4742151391389,0.014770146936729515,0.21376236339976093,0.004090564432567429,0.8974352306076551,0.6371348986012744,0.17159919139779098
two_hotspot_trajectories,7,False,False,50.0,2,2,20.77447764012713,5.454138800318137,35.46740991384433,0.014770050113744857,0.21381088552592586,0.0041254987753324025,0.8974126943556667,0.6370632327323016,0.17161203416567006
two_hotspot_trajectories,7,False,False,52.0,2,2,20.77462879370031,5.433811587073292,35.46196200507193,0.01477012478787718,0.21390107643993475,0.0041632671296026515,0.8973716497318847,0.6369409575606632,0.17160765946979187
two_hotspot_trajectories,7,False,False,54.0,2,2,20.774722452468744,5.41345321792743,35.456201204040156,0.014770810667582256,0.2139866997800405,0.004201775479832287,0.8973327292722718,0.6368253926901465,0.17159981974721075
two_hotspot_trajectories,7,False,False,56.0,2,2,20.774774106869398,5.393098583456753,35.450535704573156,0.014770350189237908,0.21407625846884798,0.004237619401282072,0.8972920025929682,0.6367043523200882,0.17161849367066365
two_hotspot_trajectories,7,False,False,58.0,2,2,20.774931142652527,5.372766816322073,35.444857699290466,0.01477122835121848,0.2141695124388861,0.0042789374209885505,0.8972497183582778,0.636579795682505,0.17160453284282703
two_hotspot_trajectories,7,False,False,60.0,2,2,20.77494858246032,5.35242113744113,35.43798263774654,0.014771171851881825,0.2142283702176436,0.004314948244849455,0.8972226164675267,0.6364958570216045,0.1716168989773409
two_hotspot_trajectories,7,False,False,62.0,2,2,20.775082243289855,5.332105502818476,35.431867094687775,0.01477154315359134,0.21431199222746247,0.0043552748960903045,0.8971845410079128,0.6363821226684924,0.17160000806537756
two_hotspot_trajectories,7,False,False,64.0,2,2,20.775201449393006,5.311759001105103,35.42532103717336,0.014772073889104736,0.21438321058217757,0.0043913860429373505,0.8971518647282575,0.6362821454515115,0.1715997738113058
two_hotspot_trajectories,7,False,False,66.0,2,2,20.775309478083397,5.291417044371593,35.419426446521996,0.014771746198920025,0.21447520841626264,0.004426525512893713,0.8971099357451943,0.636156661881535,0.1716184684966578
two_hotspot_trajectories,7,False,False,68.0,2,2,20.775447096152185,5.271073583165829,35.413741143348346,0.014772538683746096,0.2145797910030151,0.004467764132793708,0.8970626095693367,0.6360182059489632,0.17160972203517993
two_hotspot_trajectories,7,False,False,70.0,2,2,20.775474178292086,5.250724849720145,35.407173958172336,0.014772406529442473,0.2146591741257571,0.00450423053877219,0.8970263817858792,0.6359092148397261,0.1716195992191382
two_hotspot_trajectories,7,False,False,72.0,2,2,20.77559032570928,5.230407033804463,35.40101551546343,0.014772644429506397,0.2147537901827598,0.004545156305838268,0.8969834421192565,0.6357823373104696,0.1716080032068406
two_hotspot_trajectories,7,False,False,74.0,2,2,20.77568805251865,5.210061539371293,35.39427658308464,0.01477318776333195,0.21483212065433455,0.004583029041260566,0.896947654056298,0.6356742569894648,0.17160595184062005
two_hotspot_trajectories,7,False,False,76.0,2,2,20.775791296290162,5.189725055196579,35.388040581177236,0.01477307399393562,0.21492529177987732,0.004618286235898803,0.896905182704778,0.6355470439830032,0.17161096636043383
two_hotspot_trajectories,7,False,False,78.0,2,2,20.77596881708772,5.1693960518798985,35.38161167190376,0.014773789200259214,0.21501671502825526,0.0046577425932619355,0.8968635527422176,0.6354227218981214,0.17161117522063804
