family,index,truth_seed,off_manifold,canary,expected_multiplicity,n_ages,n_single_resolved,n_multi_resolved,n_blended,n_dead,n_ambiguous,grid_convergence_cells_median,grid_convergence_cells_max,grid_convergence_cardinality_error_max,contrast_fraction,peak_fraction_of_background
two_hotspot_trajectories,8,898840959480748765,False,False,2,61,0,61,0,0,0,0.13256024891258822,0.25377897917463754,0,0.020207931708654335,0.6584151862962587
two_hotspot_trajectories,9,287859591090985123,False,False,2,61,0,61,0,0,0,0.23014798011883622,0.33421240443947864,0,0.029037524819640077,0.3417221888116198
two_hotspot_trajectories,10,3007894561553505880,False,False,2,61,0,61,0,0,0,0.30351387381366934,0.35956131284845955,0,0.016384379184503015,0.5100600310668796
two_hotspot_trajectories,11,5549361204429442,False,False,2,61,0,61,0,0,0,0.16050251451371103,0.25563049683016836,0,0.03246772935576724,0.5359083570605996
two_hotspot_trajectories,12,6929525049840792983,False,False,2,61,0,45,4,0,12,0.2407432959131653,0.3023511729813927,1,0.07084405104493312,0.6295552069814544
two_hotspot_trajectories,13,3536777893670344291,False,False,2,61,0,61,0,0,0,0.21338462887956108,0.2781158966585988,0,0.028024026199011953,0.7183039652977707
two_hotspot_trajectories,14,3648433717501799959,False,False,2,61,0,61,0,0,0,0.1643427602894413,0.2567063102015744,0,0.06116234287033272,0.725586327272052
two_hotspot_trajectories,15,1318587054057344070,False,False,2,61,0,61,0,0,0,0.12785783860711444,0.2528578386071118,0,0.02991823612517818,0.7301924262479351
two_hotspot_trajectories,16,6944893767430798429,False,False,2,61,0,61,0,0,0,0.12523573751318726,0.25023573751318795,0,0.02794771345996222,0.5081462007585709
two_hotspot_trajectories,17,8137800494456634674,False,False,2,61,0,0,0,0,61,0.03840245775729587,0.25293230074824685,1,0.04122297897747976,0.7486477323133383
two_hotspot_trajectories,18,4579647255549876562,False,False,2,61,0,61,0,0,0,0.29677357402720467,0.35413159244174686,0,0.01850632375502708,0.4129360147572836
two_hotspot_trajectories,19,3499910654754241707,False,False,2,61,0,0,0,0,61,0.2504714750263745,0.2504714750263768,1,0.011261280091679161,0.4019681829541049
two_hotspot_trajectories,20,7621291869388992777,False,False,2,61,0,0,0,0,61,0.2504714750263745,0.25047147502637906,1,0.025284480169642496,0.683255931742432
two_hotspot_trajectories,21,7098600946873117927,False,False,2,61,0,61,0,0,0,0.2708660497115284,0.3372540465545704,0,0.023354881844850472,0.37307543744413707
two_hotspot_trajectories,22,4219617117173055987,False,False,2,61,0,61,0,0,0,0.21617008627082995,0.2984783455290806,0,0.044581580126240354,0.5066641282138562
two_hotspot_trajectories,23,151621465497663174,False,False,2,61,0,61,0,0,0,0.27164485470800004,0.32404654268470356,0,0.03198401507728575,0.6824379521410026
m1_rotating_crescent,0,2419684582233313169,False,False,1,61,61,0,0,0,0,0.3017468078181875,0.3017468078181913,0,0.1000518327804257,0.7176812528244432
m1_rotating_crescent,1,7381292629179441256,False,False,1,61,61,0,0,0,0,0.2574400062737139,0.25744000627371605,0,0.06642057352511022,0.6049540515130041
m1_rotating_crescent,2,2482776383592351177,False,False,1,61,61,0,0,0,0,0.32976980026994196,0.32976980026994196,0,0.04804766802124942,0.4588014412698209
m1_rotating_crescent,3,8166286569120457116,False,False,1,61,61,0,0,0,0,0.2574400062737139,0.25744000627371605,0,0.0687871923307849,0.7261061700510384
m1_rotating_crescent,4,2050745351179237343,False,False,1,61,61,0,0,0,0,0.07680491551459188,0.2615320153388595,0,0.265237235130989,0.5071044152089881
m1_rotating_crescent,5,8541120396414991546,False,False,1,61,61,0,0,0,0,0.275268485039984,0.27526848503998813,0,0.2785835299066468,0.7822663739625954
m1_rotating_crescent,6,5945749643394794816,False,False,1,61,61,0,0,0,0,0.007680491551460393,0.250117952075559,0,0.019106886765179434,0.36113802633441516
m1_rotating_crescent,7,1859570256582532130,False,False,1,61,61,0,0,0,0,0.16897081413210574,0.3017468078181894,0,0.08380925621515017,0.33984535994342174
m1_rotating_crescent,8,2833955041762796315,False,False,1,61,61,0,0,0,0,0.27214340023693173,0.27214340023693384,0,0.19913598021117732,0.6304881968588097
m1_rotating_crescent,9,3140477127390507820,False,False,1,61,61,0,0,0,0,0.36710038045232973,0.3671003804523313,0,0.029389843663068814,0.5515947462471418
m1_rotating_crescent,10,4947692609448921910,False,False,1,61,61,0,0,0,0,0.2918586789554522,0.38429349263501883,0,0.0554992590755178,0.41211746401748395
m1_rotating_crescent,11,3590027689134058380,False,False,1,61,61,0,0,0,0,0.33482913306189876,0.33482913306190043,0,0.05341553776500811,0.5686071179108041
m1_rotating_crescent,12,4261407349554849138,False,False,1,61,61,0,0,0,0,0.1382488479262673,0.28567944265022294,0,0.33716364462227133,0.7307112065683795
m1_rotating_crescent,13,3060332315050647156,False,False,1,61,61,0,0,0,0,0.0,0.25000000000000366,0,0.02846094254225774,0.464002045433693
m1_rotating_crescent,14,8860019545281154090,False,False,1,61,61,0,0,0,0,0.14592933947772732,0.2894743030398512,0,0.31452867159346165,0.6396046392666745
m1_rotating_crescent,15,2406765308513286862,False,False,1,61,61,0,0,0,0,0.3149001536098306,0.4020722655736115,0,0.10364074924265611,0.6960504469001658
m1_rotating_crescent,16,4835013715114002623,False,False,1,61,61,0,0,0,0,0.25105957371557824,0.25105957371557824,0,0.049256259699342955,0.5616241097643668
m1_rotating_crescent,17,7997106182195927110,False,False,1,61,61,0,0,0,0,0.34523809523809385,0.34523809523809385,0,0.02800163128761012,0.5857331318026912
