family,index,off_manifold,canary,age_M,peak,cardinality,peak_r,peak_phi,peak_amplitude,peak_prominence
two_hotspot_trajectories,0,False,False,94.0,0,2,40.56525264457996,5.64504929941916,0.1870294141286811,0.24799693545076823
two_hotspot_trajectories,0,False,False,94.0,1,2,29.659534639761464,2.84706834231575,0.17955056014327564,0.18970735764898444
two_hotspot_trajectories,0,False,False,96.0,0,2,40.56525264457996,5.64504929941916,0.18698529068678407,0.24795257548343208
two_hotspot_trajectories,0,False,False,96.0,1,2,29.659534639761464,2.84706834231575,0.17968432344135077,0.1898045797523733
two_hotspot_trajectories,0,False,False,98.0,0,2,40.56525264457996,5.64504929941916,0.18690025818177303,0.24786737777399065
two_hotspot_trajectories,0,False,False,98.0,1,2,29.659534639761464,2.84706834231575,0.17969113600475214,0.1897492421029942
two_hotspot_trajectories,0,False,False,100.0,0,2,40.56525264457996,5.595961914206819,0.18689560687625606,0.247862591943667
two_hotspot_trajectories,0,False,False,100.0,1,2,29.659534639761464,2.84706834231575,0.17957098626897866,0.18968981249095093
two_hotspot_trajectories,0,False,False,102.0,0,2,40.56525264457996,5.595961914206819,0.18698242745137836,0.24794924794381104
two_hotspot_trajectories,0,False,False,102.0,1,2,29.659534639761464,2.7979809571034093,0.179523044158083,0.18969824964838186
two_hotspot_trajectories,0,False,False,104.0,0,2,40.56525264457996,5.595961914206819,0.187028340383158,0.24799496782536604
two_hotspot_trajectories,0,False,False,104.0,1,2,29.659534639761464,2.7979809571034093,0.1796737802604394,0.1899012071585316
two_hotspot_trajectories,0,False,False,106.0,0,2,40.56525264457996,5.595961914206819,0.18703332289314636,0.24799973036102307
two_hotspot_trajectories,0,False,False,106.0,1,2,29.659534639761464,2.7979809571034093,0.17969758352498244,0.18997325124486839
two_hotspot_trajectories,0,False,False,108.0,0,2,40.56525264457996,5.595961914206819,0.18699737250773502,0.24796353455787337
two_hotspot_trajectories,0,False,False,108.0,1,2,29.659534639761464,2.7979809571034093,0.17959441354530964,0.1897619808838381
two_hotspot_trajectories,0,False,False,110.0,0,2,40.56525264457996,5.595961914206819,0.18692050706762406,0.24788652443949444
two_hotspot_trajectories,0,False,False,110.0,1,2,29.659534639761464,2.748893571891069,0.17949326021716525,0.189685447998245
two_hotspot_trajectories,0,False,False,112.0,0,2,40.56525264457996,5.546874528994478,0.186873371208394,0.2478392444762459
two_hotspot_trajectories,0,False,False,112.0,1,2,29.659534639761464,2.748893571891069,0.17966096455671662,0.18990649304702484
two_hotspot_trajectories,0,False,False,114.0,0,2,40.56525264457996,5.546874528994478,0.18696835687349359,0.24793405648153943
two_hotspot_trajectories,0,False,False,114.0,1,2,29.659534639761464,2.748893571891069,0.1797017583785138,0.18999663208243844
two_hotspot_trajectories,0,False,False,116.0,0,2,40.56525264457996,5.546874528994478,0.1870224446729267,0.24798794269868726
two_hotspot_trajectories,0,False,False,116.0,1,2,29.659534639761464,2.748893571891069,0.1796155871928781,0.1899559820521103
two_hotspot_trajectories,0,False,False,118.0,0,2,40.56525264457996,5.546874528994478,0.18703565575859354,0.24800092600485596
two_hotspot_trajectories,0,False,False,118.0,1,2,29.659534639761464,2.6998061866787286,0.1794612614067573,0.18978956926596827
two_hotspot_trajectories,0,False,False,120.0,0,2,40.56525264457996,5.546874528994478,0.18700848970646242,0.24797350858721753
