geometry,spin,inclination_deg,window_fraction,age_order0,I_order0,age_order1,I_order1,age_order2,I_order2,Gamma_sensitivity_matched_0_to_1,Gamma_sensitivity_matched_0_to_1_status,Gamma_sensitivity_matched_1_to_2,Gamma_sensitivity_matched_1_to_2_status
a000_i075,0.0,75,0.95,134.79462865843766,32.51419771728614,155.98496921841465,0.035841278022378666,168.63528856714336,0.005365594827062125,3.4051659395937373,ok,0.9495465024338345,ok
a050_i020,0.5,20,0.05,1.1400769456167894,662.2251922015143,31.355973477668194,3.4294595395434406,47.3188882589847,0.0969569641095905,2.6316014937323997,ok,1.7829453740093126,ok
a050_i020,0.5,20,0.1,2.2467819991745843,639.8096829813364,33.97878788071269,3.356694843891071,49.85321742572396,0.09439261808313784,2.625106974677562,ok,1.7856246097968878,ok
a050_i020,0.5,20,0.15,3.353487052732379,608.6379929289684,36.601602283757174,3.1109989626061685,52.38754659246322,0.08595936784167771,2.638139888911769,ok,1.7944122228945318,ok
a050_i020,0.5,20,0.2,4.460192106290174,572.3807613436034,39.22441668680167,2.7907701276250014,54.92187575920248,0.07630657576438112,2.6617434237280992,ok,1.799656875268141,ok
a050_i020,0.5,20,0.25,5.566897159847969,534.7315090475408,41.84723108984616,2.4687365546494764,57.456204925941734,0.06748462125055492,2.689029132621951,ok,1.7997810219106254,ok
a050_i020,0.5,20,0.3,6.673602213405763,497.80164769681204,44.470045492890655,2.2040170523713924,59.99053409268099,0.05949527304664821,2.7099600358070495,ok,1.8060700212259704,ok
a050_i020,0.5,20,0.35,7.780307266963558,462.222172889249,47.09285989593515,1.9850833416133893,62.52486325942024,0.05408345132607699,2.725192385115937,ok,1.8014439646708171,ok
a050_i020,0.5,20,0.39999999999999997,8.887012320521352,428.0490433569863,49.715674298979636,1.7706011988610406,65.05919242615951,0.04953086714640624,2.7439593135060862,ok,1.7882391871621572,ok
a050_i020,0.5,20,0.44999999999999996,9.993717374079147,395.1431490641154,52.33848870202413,1.5923543666015323,67.59352159289877,0.04522849688240721,2.757017223602226,ok,1.7806207917700518,ok
a050_i020,0.5,20,0.49999999999999994,11.100422427636941,362.9668768260944,54.96130310506862,1.4634014649516698,70.12785075963802,0.04097739852619116,2.756774042580444,ok,1.7877490581306719,ok
a050_i020,0.5,20,0.5499999999999999,12.207127481194735,330.31856756977265,57.58411750811311,1.3129083036872522,72.66217992637728,0.03625521142257429,2.763906394723298,ok,1.7947084501311594,ok
a050_i020,0.5,20,0.6,13.313832534752532,295.3465571292852,60.20693191115761,1.132931231645474,75.19650909311653,0.031281277607972044,2.7816705761875693,ok,1.7947719021433592,ok
a050_i020,0.5,20,0.65,14.420537588310328,256.00479827513635,62.829746314202104,0.9645389169563388,77.7308382598558,0.02565228487758793,2.7906506428289797,ok,1.8135087670963,ok
a050_i020,0.5,20,0.7,15.52724264186812,211.0832628950544,65.4525607172466,0.8103208046769103,80.26516742659504,0.020851314592825982,2.78128886054141,ok,1.830006614070573,ok
a050_i020,0.5,20,0.75,16.633947695425917,161.62723145895592,68.07537512029108,0.6386810451837537,82.79949659333431,0.017274586348894495,2.7668213697155486,ok,1.8050843793245952,ok
a050_i020,0.5,20,0.7999999999999999,17.74065274898371,111.73903525699671,70.69818952333557,0.48151835482000827,85.33382576007357,0.013650774026268735,2.723488519280769,ok,1.781574062675139,ok
a050_i020,0.5,20,0.85,18.847357802541506,67.62650827609625,73.32100392638006,0.35031693706969835,87.86815492681282,0.010506260639213125,2.6314585201044927,ok,1.7534334741947026,ok
a050_i020,0.5,20,0.9,19.954062856099302,34.74022211475353,75.94381832942457,0.21806486064276087,90.40248409355209,0.007242793143295062,2.5354304444923774,ok,1.7023928095749654,ok
a050_i020,0.5,20,0.95,21.060767909657095,14.736174173022272,78.56663273246906,0.09518809755770999,92.93681326029133,0.004116057018941355,2.5211028348288202,ok,1.5704796187262087,ok
a050_i050,0.5,50,0.05,2.890738863645032,239.97163062839405,49.03847712441207,4.570615262694064,65.2610061836985,0.10499046336818023,1.9804364420047353,ok,1.8867667923225295,ok
a050_i050,0.5,50,0.1,5.781095541774573,237.38873759136027,51.75696237198556,4.400205121016981,68.13265567360713,0.09430191289314475,1.9940239410783496,ok,1.9214524813059575,ok
a050_i050,0.5,50,0.15,8.671452219904113,236.372299381736,54.475447619559056,4.039655427524666,71.00430516351577,0.07904680174838909,2.034624351825505,ok,1.9669372864275023,ok
a050_i050,0.5,50,0.2,11.561808898033656,241.5575324837132,57.193932867132546,3.6785031403970985,73.8759546534244,0.06676466170249101,2.0923008801800376,ok,2.004543634477225,ok
a050_i050,0.5,50,0.25,14.452165576163196,250.4930836304844,59.91241811470604,3.339185521288408,76.74760414333304,0.05708111457527243,2.158852194268476,ok,2.0345044406834614,ok
a050_i050,0.5,50,0.3,17.342522254292735,261.6593480175454,62.63090336227954,3.0301419862864414,79.61925363324167,0.0498127148188841,2.2292169903897667,ok,2.0540472442375877,ok
a050_i050,0.5,50,0.35,20.232878932422278,273.50263473257064,65.34938860985304,2.7344451446591496,82.4909031231503,0.043644669081388476,2.3026913560341944,ok,2.0688013380065984,ok
a050_i050,0.5,50,0.39999999999999997,23.123235610551816,285.8124614829934,68.06787385742652,2.4823544445046544,85.36255261305894,0.03825044780688835,2.3730641920316797,ok,2.0864037470001,ok
a050_i050,0.5,50,0.44999999999999996,26.01359228868136,295.70295618449995,70.78635910500002,2.3104479575105152,88.23420210296757,0.03420267621686273,2.425956998658459,ok,2.106446406376865,ok
a050_i050,0.5,50,0.49999999999999994,28.903948966810898,302.9649339094532,73.50484435257351,2.0974426165148308,91.1058515928762,0.03020815517220762,2.4864491340968184,ok,2.120181076593587,ok
