geometry,spin,inclination_deg,deepest_detectable_age,shallowest_detectable_age,n_detectable_ages,right_censored,depth_report,arm,snr0,total_ages,age_grid_max,T_rec_best_mode,T_rec_best_mode_right_censored,T_rec_best_mode_report
a000_i050,0.0,50,60.0,0.0,16,False,60.0,SPATIAL_ONLY,100.0,64,252.0,60.0,False,60.0
a000_i050,0.0,50,60.0,0.0,16,False,60.0,SPATIAL_ONLY,300.0,64,252.0,64.0,False,64.0
a000_i050,0.0,50,64.0,0.0,17,False,64.0,SPATIAL_ONLY,1000.0,64,252.0,64.0,False,64.0
a000_i050,0.0,50,64.0,0.0,17,False,64.0,SPATIAL_ONLY,3000.0,64,252.0,64.0,False,64.0
a000_i050,0.0,50,64.0,0.0,17,False,64.0,SPATIAL_ONLY,10000.0,64,252.0,68.0,False,68.0
a000_i050,0.0,50,68.0,0.0,18,False,68.0,SPATIAL_ONLY,30000.0,64,252.0,68.0,False,68.0
a000_i050,0.0,50,68.0,0.0,18,False,68.0,SPATIAL_ONLY,100000.0,64,252.0,68.0,False,68.0
a000_i050,0.0,50,68.0,0.0,18,False,68.0,SPATIAL_ONLY,1000000.0,64,252.0,72.0,False,72.0
a000_i050,0.0,50,-1.0,-1.0,0,False,none,EQUALIZED_ORDER_SENSITIVITY,1.0,64,252.0,68.0,False,68.0
a000_i050,0.0,50,-1.0,-1.0,0,False,none,EQUALIZED_ORDER_SENSITIVITY,3.0,64,252.0,80.0,False,80.0
a000_i050,0.0,50,96.0,0.0,25,False,96.0,EQUALIZED_ORDER_SENSITIVITY,10.0,64,252.0,108.0,False,108.0
a000_i050,0.0,50,112.0,0.0,29,False,112.0,EQUALIZED_ORDER_SENSITIVITY,30.0,64,252.0,120.0,False,120.0
a000_i050,0.0,50,120.0,0.0,31,False,120.0,EQUALIZED_ORDER_SENSITIVITY,100.0,64,252.0,124.0,False,124.0
a000_i050,0.0,50,124.0,0.0,32,False,124.0,EQUALIZED_ORDER_SENSITIVITY,300.0,64,252.0,124.0,False,124.0
a000_i050,0.0,50,124.0,0.0,32,False,124.0,EQUALIZED_ORDER_SENSITIVITY,1000.0,64,252.0,128.0,False,128.0
a000_i050,0.0,50,128.0,0.0,33,False,128.0,EQUALIZED_ORDER_SENSITIVITY,3000.0,64,252.0,128.0,False,128.0
a000_i050,0.0,50,128.0,0.0,33,False,128.0,EQUALIZED_ORDER_SENSITIVITY,10000.0,64,252.0,128.0,False,128.0
a000_i050,0.0,50,128.0,0.0,33,False,128.0,EQUALIZED_ORDER_SENSITIVITY,30000.0,64,252.0,128.0,False,128.0
a000_i050,0.0,50,128.0,0.0,33,False,128.0,EQUALIZED_ORDER_SENSITIVITY,100000.0,64,252.0,132.0,False,132.0
a000_i050,0.0,50,132.0,0.0,34,False,132.0,EQUALIZED_ORDER_SENSITIVITY,1000000.0,64,252.0,132.0,False,132.0
a000_i050,0.0,50,-1.0,-1.0,0,False,none,PAIRING_DESTROYED,1.0,64,252.0,-1.0,False,none
a000_i050,0.0,50,-1.0,-1.0,0,False,none,PAIRING_DESTROYED,3.0,64,252.0,52.0,False,52.0
a000_i050,0.0,50,48.0,0.0,13,False,48.0,PAIRING_DESTROYED,10.0,64,252.0,76.0,False,76.0
a000_i050,0.0,50,56.0,0.0,15,False,56.0,PAIRING_DESTROYED,30.0,64,252.0,92.0,False,92.0
a000_i050,0.0,50,76.0,0.0,20,False,76.0,PAIRING_DESTROYED,100.0,64,252.0,96.0,False,96.0
a000_i050,0.0,50,92.0,0.0,24,False,92.0,PAIRING_DESTROYED,300.0,64,252.0,112.0,False,112.0
a000_i050,0.0,50,100.0,0.0,26,False,100.0,PAIRING_DESTROYED,1000.0,64,252.0,116.0,False,116.0
a000_i050,0.0,50,108.0,0.0,28,False,108.0,PAIRING_DESTROYED,3000.0,64,252.0,120.0,False,120.0
a000_i050,0.0,50,116.0,0.0,30,False,116.0,PAIRING_DESTROYED,10000.0,64,252.0,124.0,False,124.0
a000_i050,0.0,50,120.0,0.0,31,False,120.0,PAIRING_DESTROYED,30000.0,64,252.0,124.0,False,124.0
a000_i050,0.0,50,124.0,0.0,32,False,124.0,PAIRING_DESTROYED,100000.0,64,252.0,124.0,False,124.0
a000_i050,0.0,50,128.0,0.0,33,False,128.0,PAIRING_DESTROYED,1000000.0,64,252.0,128.0,False,128.0
a000_i075,0.0,75,-1.0,-1.0,0,False,none,DIRECT_PHYSICAL,1.0,64,252.0,-1.0,False,none
a000_i075,0.0,75,-1.0,-1.0,0,False,none,DIRECT_PHYSICAL,3.0,64,252.0,120.0,False,120.0
a000_i075,0.0,75,124.0,40.0,22,False,124.0,DIRECT_PHYSICAL,10.0,64,252.0,136.0,False,136.0
a000_i075,0.0,75,136.0,24.0,29,False,136.0,DIRECT_PHYSICAL,30.0,64,252.0,140.0,False,140.0
a000_i075,0.0,75,140.0,20.0,31,False,140.0,DIRECT_PHYSICAL,100.0,64,252.0,144.0,False,144.0
a000_i075,0.0,75,144.0,16.0,33,False,144.0,DIRECT_PHYSICAL,300.0,64,252.0,144.0,False,144.0
a000_i075,0.0,75,144.0,16.0,33,False,144.0,DIRECT_PHYSICAL,1000.0,64,252.0,144.0,False,144.0
a000_i075,0.0,75,144.0,12.0,34,False,144.0,DIRECT_PHYSICAL,3000.0,64,252.0,148.0,False,148.0
a000_i075,0.0,75,148.0,12.0,35,False,148.0,DIRECT_PHYSICAL,10000.0,64,252.0,148.0,False,148.0
a000_i075,0.0,75,148.0,12.0,35,False,148.0,DIRECT_PHYSICAL,30000.0,64,252.0,148.0,False,148.0
a000_i075,0.0,75,148.0,8.0,36,False,148.0,DIRECT_PHYSICAL,100000.0,64,252.0,148.0,False,148.0
