geometry,source_class,kind,arm,retarded_age,lambda_max_per_snr2,lambda_min_per_snr2,detectable_at_reference_snr,log_information_volume_at_reference_snr
a050_i050,L224,localized,UNRESOLVED_IMAGE,64.0,8.301467178117573e-05,1.5531594225474941e-09,False,1.7269228699420378
a050_i050,L224,localized,UNRESOLVED_IMAGE,66.0,4.862970257990963e-05,1.327301812185019e-09,False,1.1231826347270688
a050_i050,L224,localized,UNRESOLVED_IMAGE,68.0,4.108117963423908e-05,1.0963122024854904e-09,False,0.9346003760903463
a050_i050,L224,localized,UNRESOLVED_IMAGE,70.0,3.6502303710268046e-05,8.646654339319823e-10,False,0.8161021620384237
a050_i050,L224,localized,UNRESOLVED_IMAGE,72.0,3.323144224465441e-05,5.46679584401454e-10,False,0.7296062091262657
a050_i050,L224,localized,UNRESOLVED_IMAGE,74.0,2.996756690551015e-05,2.6287532536957844e-10,False,0.6509296999419074
a050_i050,L224,localized,UNRESOLVED_IMAGE,76.0,2.628194871821867e-05,1.1598478220979666e-10,False,0.5743558872713459
a050_i050,L224,localized,UNRESOLVED_IMAGE,78.0,2.2820257941620837e-05,5.3351932829880174e-11,False,0.5032050089828944
a050_i050,L224,localized,UNRESOLVED_IMAGE,80.0,1.9917513434254137e-05,2.6532641853418333e-11,False,0.4391384979820541
a050_i050,L224,localized,UNRESOLVED_IMAGE,82.0,1.7569311679607315e-05,1.33470071426931e-11,False,0.3835852239134219
a050_i050,L224,localized,UNRESOLVED_IMAGE,84.0,1.5417448584315633e-05,5.1158307841394455e-12,False,0.3349178330955205
a050_i050,L224,localized,UNRESOLVED_IMAGE,86.0,1.3036219145594095e-05,1.7027539929849489e-12,False,0.2870478763676418
a050_i050,L224,localized,UNRESOLVED_IMAGE,88.0,1.0672230370988831e-05,6.173181775253053e-13,False,0.24200288311721346
a050_i050,L224,localized,UNRESOLVED_IMAGE,90.0,8.707755017823516e-06,2.1845050471498564e-13,False,0.20289273362046725
a050_i050,L224,localized,UNRESOLVED_IMAGE,92.0,6.612752163912606e-06,7.060708567638999e-14,False,0.1607615187652779
a050_i050,L224,localized,UNRESOLVED_IMAGE,94.0,4.2226931719855204e-06,2.6346254586687652e-14,False,0.11165127735291566
a050_i050,L224,localized,UNRESOLVED_IMAGE,96.0,3.044353870769818e-06,1.0231835355843467e-14,False,0.06446878292251629
a050_i050,L224,localized,UNRESOLVED_IMAGE,98.0,1.7900750880092592e-06,3.201491276043251e-15,False,0.03108016293328436
a050_i050,L224,localized,UNRESOLVED_IMAGE,100.0,5.957551591276135e-07,8.88536032350032e-16,False,0.012313962040095057
a050_i050,L224,localized,UNRESOLVED_IMAGE,102.0,1.7795031138163945e-07,1.656836714801145e-16,False,0.003972283340971175
a050_i050,L224,localized,UNRESOLVED_IMAGE,104.0,5.665695739531722e-08,3.3607423563292895e-17,False,0.0009581421984076315
a050_i050,L224,localized,UNRESOLVED_IMAGE,106.0,9.019928655145998e-09,4.307265229819987e-18,False,0.0001765562641798791
