source_class,bank,family,split,index,representation_floor_relative,representation_floor_structure_relative,old_band_structure_floor
L224,structure_balanced_080,plunging_hotspot,pilot,1,0.663201273091078,0.815087134951365,2.3641529826952055
L224,structure_balanced_080,plunging_hotspot,pilot,2,0.46925129151168166,0.5667275176539904,0.9100568063232659
L224,structure_balanced_080,plunging_hotspot,pilot,3,0.6894417263785724,0.8484252322479172,1.9426704187998987
L224,structure_balanced_080,plunging_hotspot,pilot,4,0.3725718620224563,0.44046880973594393,0.6389872829517262
L224,structure_balanced_080,plunging_hotspot,pilot,5,0.5435139856666905,0.6623419091694533,0.8961649777488102
L224,structure_balanced_080,plunging_hotspot,pilot,6,0.47452536204676543,0.5735462771348014,2.108614681134332
L224,structure_balanced_080,plunging_hotspot,pilot,7,0.7178526168067846,0.8844760046931162,0.41989899762376537
L224,structure_balanced_080,plunging_hotspot,selection,0,0.666912831510256,0.8198047373765409,1.472555661277268
L224,structure_balanced_080,plunging_hotspot,selection,1,0.6736834915022181,0.8284094253260714,2.367982724943661
L224,structure_balanced_080,plunging_hotspot,selection,2,0.5949275297830039,0.7281151565770737,1.6190375094016627
L224,structure_balanced_080,plunging_hotspot,selection,3,0.5872654581847035,0.7183303790495443,0.8418660927169153
L224,structure_balanced_080,plunging_hotspot,selection,4,0.5171295733518615,0.6284674335064607,1.777808955996224
L224,structure_balanced_080,plunging_hotspot,selection,5,0.5730317725196704,0.700137986288259,1.8058877122064345
L224,structure_balanced_080,plunging_hotspot,selection,6,0.6115375312078476,0.7493085331752121,1.317146032695361
L224,structure_balanced_080,plunging_hotspot,selection,7,0.6736750024231085,0.8283977606359044,1.4571965311863793
L448,baseline_one_positive,circular_crescent,pilot,0,0.18489284676225917,0.49047104278040343,1.193828549797666
L448,baseline_one_positive,circular_crescent,pilot,1,0.1822925523445524,0.5127903369948038,0.9474877622043958
L448,baseline_one_positive,circular_crescent,pilot,2,0.20514389843888434,0.6517147507276572,2.0186858715502125
L448,baseline_one_positive,circular_crescent,pilot,3,0.22469271423084552,0.7445549652518302,2.43841138878532
L448,baseline_one_positive,circular_crescent,pilot,4,0.20868894215197933,0.6988321500579112,1.9038580588316885
L448,baseline_one_positive,circular_crescent,pilot,5,0.2250730645630504,0.668173380848826,2.393388101646109
L448,baseline_one_positive,circular_crescent,pilot,6,0.18204086580239817,0.5771264273893902,0.9126551513026301
L448,baseline_one_positive,circular_crescent,pilot,7,0.18296511806149426,0.5491364981046084,0.9710947455367217
L448,baseline_one_positive,circular_crescent,selection,0,0.18568448807776308,0.5303316279809779,1.1865512362359505
L448,baseline_one_positive,circular_crescent,selection,1,0.21483323587341133,0.6571474834178243,2.077377390521864
L448,baseline_one_positive,circular_crescent,selection,2,0.2032086631116,0.6683949631233055,1.9917317288581675
L448,baseline_one_positive,circular_crescent,selection,3,0.24307185494167882,0.8468495029054962,2.5291844449002068
L448,baseline_one_positive,circular_crescent,selection,4,0.2368445757133407,0.9003787360651209,2.3417824696038485
L448,baseline_one_positive,circular_crescent,selection,5,0.18332799570276795,0.65158836087488,1.0436675569657388
L448,baseline_one_positive,circular_crescent,selection,6,0.19528196762806999,0.6525335476750298,1.5629703366432917
L448,baseline_one_positive,circular_crescent,selection,7,0.1922219286080722,0.45816423930374134,1.5569737458079187
L448,baseline_one_positive,circular_single_hotspot,pilot,0,0.19973632537517907,1.1175712552264792,1.2445400971615237
L448,baseline_one_positive,circular_single_hotspot,pilot,1,0.18035442545887403,1.3102902908478502,0.4873065210862847
L448,baseline_one_positive,circular_single_hotspot,pilot,2,0.18124735786039842,0.7336727427826936,0.6560371074434911
L448,baseline_one_positive,circular_single_hotspot,pilot,3,0.18712406703784873,0.5777647599163049,0.9913589574188179
L448,baseline_one_positive,circular_single_hotspot,pilot,4,0.18756462456741083,0.6191586663372804,0.9927754341483268
L448,baseline_one_positive,circular_single_hotspot,pilot,5,0.1931698110538192,1.4903133307823828,1.032531073930825
L448,baseline_one_positive,circular_single_hotspot,pilot,6,0.18030798828818873,0.7759663638969032,0.5021657144963435
L448,baseline_one_positive,circular_single_hotspot,pilot,7,0.1796915604721112,1.1454931281326142,0.43761221386697136
L448,baseline_one_positive,circular_single_hotspot,selection,0,0.197664313623283,1.2462341913894652,1.1814214267907037
