source_class,bank,family,split,index,content_hash,achieved_structure_fraction,level_fraction,target_structure_fraction,representation_floor,in_class_residual,reprojection_residual_relative,min_value,negative_mass_relative,achievable
L224,constant_flux_structural,circular_crescent,pilot,2,df0bced35ad9e19305a74ada72fdc7456c6388d731fab6c129d50a39317f6ce5,0.6275579709085664,0.7785698383248114,,2.012137721860381e-15,0.0,0.15644051613688617,-0.35467051407803935,0.048085299797869976,True
L224,constant_flux_structural,circular_crescent,pilot,3,f6f6d62685276bf9abdbae617150ce040a0f4447b8de8a14557b587c27e0b5e5,0.7558070906864124,0.6547943506690793,,1.3433454865837186e-15,0.0,0.1565698627154792,-1.1533054462197374,0.14520607091127458,True
L224,constant_flux_structural,circular_crescent,pilot,4,cdbead558a64148134c21c89f41b83827f1aacaf256f8b6eaae0b67b14f50119,0.6162687753248332,0.7875359017591708,,3.5036043707044926e-15,0.0,0.15613102834508627,-0.10003059294722365,0.017874232164712272,True
L224,constant_flux_structural,circular_crescent,pilot,5,fdab665b42d9698b14a6b0abfc931d82802ec8d72d33f6906b086f6957677705,0.6211031016215082,0.7837288671193262,,1.6385721222880121e-15,0.0,0.15656551313951333,-0.8454966701869827,0.12756179692368644,True
L224,constant_flux_structural,circular_crescent,pilot,6,cf056254e0a405c90d11c49853793694419025e90524beff209d23b5d1163e95,0.6262478294328182,0.7796240479427785,,1.5297193172475691e-15,0.0,0.15640449154146155,-0.2344279302402252,0.03255883280806492,True
L224,constant_flux_structural,circular_crescent,pilot,7,88253bce12026c24538a07bdd6f928f451ac6cf281dad0d5097be8d3d2833b4d,0.5868046374772704,0.8097285455232323,,1.1248413210029084e-15,0.0,0.15656580588197883,0.0,0.0,True
L224,constant_flux_structural,plunging_hotspot,selection,0,4ad4d57dc570276038c60802422778fbdb09aba335e4a4f630e644a516956e6e,0.9152540952454868,0.40287707943784207,,1.5655594249367813e-15,0.0,0.15529304908416217,-3.827447280087599,0.2840968947612604,True
L224,constant_flux_structural,plunging_hotspot,selection,1,f3d139a9f9ab34d5b18a23b896a5c276938eabeb8e10d36df00fecf2c490f143,0.8762989156238523,0.48176779725969704,,1.5936569965027123e-15,0.0,0.1551882829254144,-0.42822447699435323,0.04913408078502252,True
L224,constant_flux_structural,plunging_hotspot,selection,2,0dfaa04120416dfae0ca9e694d292aaa415351cf615d12293e2500dd14c0c1eb,0.9221926568063057,0.386730789739487,,1.900681665105536e-15,0.0,0.1557192013154395,-2.2820937162631547,0.08142641020493473,True
L224,constant_flux_structural,plunging_hotspot,selection,3,046f8cc7edff4c374a871bbce29d685b3aa2d7d267e416522a4d4c19b2c4abf3,0.8593329523975759,0.5114165395484053,,1.6554142768747735e-15,0.0,0.15501742008109115,-0.5429494048324321,0.06293138812788927,True
L224,constant_flux_structural,plunging_hotspot,selection,4,463ab4c9056b42cd5b40586a633d52a3b2fed1de724b4051bca3d015a2d9d783,0.9256382832606788,0.37840952493591307,,1.992450472039427e-15,0.0,0.1550276581209103,-4.346967009543461,0.29650723615008245,True
L224,constant_flux_structural,plunging_hotspot,selection,5,84fbc3c0f513f8073e20d4a98356cd6e751d040d1c57d90fcf57552930a08657,0.8976234937568023,0.4407630468356347,,1.6812948503591012e-15,0.0,0.1555882595805026,-3.093337273253307,0.26107123184800135,True
L224,constant_flux_structural,plunging_hotspot,selection,6,e2971ed5502254016884d87226c9325b42fe5a0556a2b49ddbb99c699114aa2e,0.8728832844406144,0.48792906425439087,,1.8696176726359608e-15,0.0,0.15602514819421945,-2.435075558822878,0.25305502385808104,True
L224,constant_flux_structural,plunging_hotspot,selection,7,40f2928e880ab22222c4f8d97865e774448cd27eee5135bcfc5bf1c73bff9e92,0.8624883582969711,0.5060769030514983,,2.014613567683014e-15,0.0,0.15472347822473198,-2.0636961997430494,0.14738332927560943,True
