class,arm,estimator,snr0,family,index,target,age_M,state,measure,error
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,84.0,SINGLE_RESOLVED,assignment,1.0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,86.0,SINGLE_RESOLVED,assignment,1.0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,88.0,SINGLE_RESOLVED,assignment,1.0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,90.0,SINGLE_RESOLVED,assignment,1.0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,92.0,SINGLE_RESOLVED,assignment,1.0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,94.0,SINGLE_RESOLVED,assignment,1.0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,96.0,SINGLE_RESOLVED,assignment,1.0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,98.0,SINGLE_RESOLVED,assignment,1.0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,100.0,SINGLE_RESOLVED,assignment,1.0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,102.0,SINGLE_RESOLVED,assignment,1.0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,104.0,SINGLE_RESOLVED,assignment,1.0
